SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,6.15847,6.15847,1.46698,0,0
0,0,0.100000,32,0,4,5.69778,5.69778,1.45963,0,0
0,1,0.100000,16,0,4,6.1192,6.1192,1.45513,0,0
1,0,0.100000,16,0,4,3.12196,3.12196,1.47044,0,0
0,0,0.100000,16,1,4,6.27426,6.27426,1.52909,0,0
0,0,0.200000,16,0,4,5.98768,5.98768,1.46303,0,0
1,0,0.100000,32,0,4,2.78012,2.78012,1.44634,0,0
1,1,0.100000,16,0,4,3.16019,3.16019,1.4553,0,0
1,0,0.100000,16,1,4,3.82701,3.82701,1.56144,0,0
1,0,0.200000,16,0,4,3.13178,3.13178,1.45117,0,0
1,0,0.100000,64,0,4,2.60934,2.60934,1.46027,0,0
1,1,0.100000,32,0,4,2.75741,2.75741,1.44788,0,0
1,0,0.100000,32,1,4,3.16118,3.16118,1.53336,0,0
1,0,0.200000,32,0,4,2.73075,2.73075,1.4345,0,0
1,0,0.100000,128,0,4,2.45624,2.45624,1.43472,0,0
1,1,0.100000,64,0,4,2.54921,2.54921,1.44072,0,0
0,0,0.100000,64,0,4,5.37712,5.37712,1.44224,0,0
1,0,0.100000,64,1,4,2.828,2.828,1.49196,0,0
1,0,0.200000,64,0,4,2.52114,2.52114,1.46425,0,0
1,0,0.100000,256,0,4,2.47628,2.47628,1.43975,0,0
1,1,0.100000,128,0,4,2.48608,2.48608,1.40533,0,0
0,0,0.100000,128,0,4,5.29247,5.29247,1.44578,0,0
1,0,0.100000,128,1,4,2.63723,2.63723,1.51824,0,0
1,0,0.200000,128,0,4,2.43859,2.43859,1.43378,0,0
1,0,0.200000,256,0,4,2.46196,2.46196,1.4435,0,0
1,1,0.200000,128,0,4,2.47513,2.47513,1.45286,0,0
0,0,0.200000,128,0,4,5.28881,5.28881,1.43943,0,0
1,0,0.200000,128,1,4,2.63377,2.63377,1.50579,0,0
1,0,0.300000,128,0,4,2.43831,2.43831,1.43202,0,0
1,0,0.300000,256,0,4,2.47867,2.47867,1.45649,0,0
1,0,0.300000,64,0,4,2.5092,2.5092,1.43221,0,0
1,1,0.300000,128,0,4,2.47936,2.47936,1.4362,0,0
0,0,0.300000,128,0,4,5.28234,5.28234,1.44365,0,0
1,0,0.300000,128,1,4,2.63013,2.63013,1.517,0,0
