SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,0,0.100000,16,1,8,4.84916,4.84916,1.98824,0,0
1,0,0.100000,32,1,8,3.95839,3.95839,1.96294,0,0
1,0,0.100000,64,1,8,2.88515,2.88515,1.96601,0,0
1,0,0.100000,128,1,8,2.49982,2.49982,1.97677,0,0
1,0,0.100000,256,1,8,2.33529,2.33529,1.96528,0,0
1,0,0.100000,512,1,8,2.21836,2.21836,1.95724,0,0
1,1,0.100000,512,1,8,2.20823,2.20823,1.97595,0,0
0,1,0.100000,512,1,8,3.48663,3.48663,1.95255,0,0
1,1,0.100000,512,0,8,1.97515,1.97515,1.9055,0,0
1,1,0.200000,512,0,8,2.0972,2.0972,1.91094,0,0
1,1,0.300000,512,0,8,1.95831,1.95831,1.90135,0,0
1,1,0.300000,16,0,8,5.63319,5.63319,1.92902,0,0
1,1,0.300000,32,0,8,3.75544,3.75544,1.90492,0,0
1,1,0.300000,64,0,8,2.74668,2.74668,1.89148,0,0
1,1,0.300000,128,0,8,2.32519,2.32519,1.87937,0,0
1,1,0.300000,256,0,8,2.13493,2.13493,1.90125,0,0
1,0,0.300000,512,0,8,1.94833,1.94833,1.90998,0,0
0,0,0.300000,512,0,8,3.53777,3.53777,1.90002,0,0
1,0,0.300000,512,1,8,2.01896,2.01896,1.96182,0,0
1,0,0.100000,512,0,8,1.90781,1.90781,1.90166,0,0
1,0,0.200000,512,0,8,1.91517,1.91517,1.90335,0,0
1,0,0.100000,16,0,8,5.48113,5.48113,1.92825,0,0
1,0,0.100000,32,0,8,3.98694,3.98694,1.90488,0,0
1,0,0.100000,64,0,8,2.83809,2.83809,1.8972,0,0
1,0,0.100000,128,0,8,2.38629,2.38629,1.91006,0,0
1,0,0.100000,256,0,8,2.19531,2.19531,1.885,0,0
0,0,0.100000,512,0,8,3.61692,3.61692,1.89216,0,0
