SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,0,0.300000,16,1,4,5.65487,5.65487,1.9912,0,0
0,1,0.100000,128,0,8,4.22614,4.22614,1.89668,0,0
0,1,0.200000,128,0,8,4.22674,4.22674,1.90539,0,0
1,0,0.200000,16,0,4,5.63791,5.63791,1.92351,0,0
0,1,0.200000,64,0,4,4.3995,4.3995,1.90506,0,0
1,0,0.100000,32,0,8,4.32323,4.32323,1.91975,0,0
0,1,0.300000,256,1,4,3.5975,3.5975,1.95875,0,0
0,0,0.100000,256,1,4,3.76732,3.76732,1.97074,0,0
1,1,0.300000,16,0,4,5.93919,5.93919,1.92418,0,0
1,0,0.100000,512,1,8,1.99913,1.99913,1.95764,0,0
1,0,0.300000,512,1,4,2.08611,2.08611,1.97803,0,0
0,0,0.200000,32,1,8,5.20892,5.20892,1.96215,0,0
0,0,0.100000,256,0,4,3.88944,3.88944,1.90096,0,0
0,1,0.100000,128,1,8,3.73059,3.73059,1.94922,0,0
0,0,0.300000,256,0,8,3.71468,3.71468,1.89602,0,0
1,1,0.300000,32,1,8,3.94028,3.94028,1.97914,0,0
0,1,0.200000,256,1,8,3.70634,3.70634,1.95732,0,0
1,0,0.200000,32,0,8,4.44678,4.44678,1.91459,0,0
0,1,0.300000,256,0,4,3.99716,3.99716,1.91594,0,0
0,0,0.300000,128,1,8,4.40093,4.40093,1.94665,0,0
1,0,0.200000,128,0,8,3.25992,3.25992,1.91351,0,0
0,0,0.200000,128,1,8,4.26913,4.26913,1.9614,0,0
1,0,0.100000,16,0,8,5.47658,5.47658,1.91684,0,0
0,1,0.100000,512,0,4,3.65231,3.65231,1.90843,0,0
0,1,0.100000,256,1,8,3.7278,3.7278,1.97465,0,0
0,0,0.300000,64,0,4,4.33396,4.33396,1.91541,0,0
1,0,0.200000,512,0,8,2.03263,2.03263,1.8961,0,0
1,1,0.200000,64,0,8,2.84284,2.84284,1.90765,0,0
1,1,0.100000,64,0,8,2.88475,2.88475,1.8964,0,0
0,0,0.300000,128,0,4,3.92326,3.92326,1.93146,0,0
1,0,0.200000,256,1,8,2.16563,2.16563,1.96661,0,0
1,1,0.100000,512,0,4,2.02552,2.02552,1.91153,0,0
0,0,0.200000,128,0,4,4.39506,4.39506,1.90645,0,0
1,1,0.300000,128,0,8,3.1828,3.1828,1.89624,0,0
0,0,0.100000,64,0,4,4.78794,4.78794,1.91661,0,0
1,0,0.300000,256,1,4,2.21044,2.21044,1.97643,0,0
0,0,0.200000,16,0,8,7.37432,7.37432,1.90815,0,0
0,1,0.100000,64,1,4,4.29867,4.29867,1.94812,0,0
1,0,0.300000,64,1,8,2.89145,2.89145,1.95409,0,0
1,1,0.300000,256,1,8,2.2849,2.2849,1.96888,0,0
1,1,0.300000,16,1,8,5.37546,5.37546,1.98695,0,0
0,0,0.200000,16,1,4,6.57979,6.57979,1.98552,0,0
0,0,0.300000,256,1,4,3.56499,3.56499,1.97055,0,0
1,1,0.100000,32,0,8,4.09342,4.09342,1.90566,0,0
0,1,0.100000,16,1,4,6.84729,6.84729,1.97407,0,0
0,0,0.100000,32,0,8,5.69859,5.69859,1.90288,0,0
1,0,0.300000,64,0,8,3.09761,3.09761,1.88787,0,0
0,0,0.100000,32,1,4,5.25834,5.25834,1.96571,0,0
1,0,0.100000,512,0,4,1.98003,1.98003,1.90577,0,0
0,0,0.200000,64,1,4,4.46298,4.46298,1.98119,0,0
1,0,0.300000,512,0,8,2.06692,2.06692,1.90582,0,0
0,1,0.300000,16,1,4,7.32749,7.32749,1.97391,0,0
1,1,0.300000,512,1,4,2.24269,2.24269,1.9795,0,0
1,1,0.200000,32,0,4,4.36245,4.36245,1.91187,0,0
1,1,0.100000,256,0,4,2.33844,2.33844,1.91609,0,0
1,1,0.200000,512,1,8,2.28243,2.28243,1.98124,0,0
1,1,0.200000,256,0,4,2.26717,2.26717,1.92219,0,0
0,1,0.300000,32,0,4,5.71394,5.71394,1.90388,0,0
1,1,0.200000,32,1,8,3.89516,3.89516,1.9894,0,0
1,1,0.100000,16,0,8,6.21118,6.21118,1.93289,0,0
0,1,0.300000,128,1,4,4.01968,4.01968,1.9754,0,0
0,0,0.300000,512,0,8,3.58191,3.58191,1.92009,0,0
0,0,0.200000,64,0,4,4.38611,4.38611,1.89945,0,0
1,1,0.100000,512,1,8,2.12397,2.12397,1.96297,0,0
1,0,0.100000,64,1,8,2.98518,2.98518,1.97118,0,0
1,0,0.300000,32,0,4,4.20093,4.20093,1.91214,0,0
1,0,0.200000,128,1,8,2.77952,2.77952,1.96113,0,0
0,1,0.300000,32,1,4,5.36852,5.36852,1.97187,0,0
0,1,0.100000,512,1,8,3.42091,3.42091,1.96759,0,0
0,1,0.300000,64,1,8,4.11541,4.11541,1.96926,0,0
0,1,0.100000,16,0,8,7.08043,7.08043,1.91619,0,0
