SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,1,0.300000,16,1,8,3.71446,3.71446,1.66573,0,0
0,1,0.300000,32,1,8,3.49806,3.49806,1.47794,0,0
0,1,0.300000,64,1,8,3.06275,3.06275,1.50509,0,0
0,1,0.300000,128,1,8,3.33053,3.33053,1.52653,0,0
0,1,0.300000,256,1,8,3.23914,3.23914,1.50964,0,0
0,1,0.300000,512,1,8,2.92857,2.92857,1.51386,0,0
0,0,0.300000,512,1,8,3.28199,3.28199,1.52578,0,0
1,1,0.300000,512,1,8,1.55284,1.55284,1.52259,0,0
1,1,0.300000,512,0,8,1.53151,1.53151,1.45275,0,0
1,1,0.100000,512,0,8,1.52252,1.52252,1.48198,0,0
1,1,0.200000,512,0,8,1.52748,1.52748,1.49166,0,0
1,1,0.100000,16,0,8,1.90622,1.90622,1.49243,0,0
1,1,0.100000,32,0,8,1.69508,1.69508,1.47722,0,0
1,1,0.100000,64,0,8,1.57898,1.57898,1.44693,0,0
1,1,0.100000,128,0,8,1.82505,1.82505,1.45995,0,0
1,1,0.100000,256,0,8,1.49584,1.49584,1.47496,0,0
1,0,0.100000,256,0,8,1.51944,1.51944,1.47529,0,0
0,1,0.100000,256,0,8,3.37003,3.37003,1.47524,0,0
1,1,0.100000,256,1,8,1.87498,1.87498,1.51103,0,0
1,1,0.200000,256,0,8,1.54182,1.54182,1.48407,0,0
1,1,0.300000,256,0,8,1.59163,1.59163,1.45941,0,0
