SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,0,0.100000,16,0,8,1.9531,1.9531,1.50464,0,0
1,0,0.100000,32,0,8,1.7009,1.7009,1.5036,0,0
1,1,0.100000,16,0,8,2.16698,2.16698,1.50551,0,0
0,0,0.100000,16,0,8,3.89783,3.89783,1.50404,0,0
1,0,0.100000,16,1,8,2.68436,2.68436,1.56031,0,0
1,0,0.200000,16,0,8,1.9069,1.9069,1.50799,0,0
1,0,0.100000,64,0,8,1.63131,1.63131,1.49133,0,0
1,1,0.100000,32,0,8,1.73296,1.73296,1.49395,0,0
0,0,0.100000,32,0,8,3.4673,3.4673,1.48309,0,0
1,0,0.100000,32,1,8,1.98615,1.98615,1.55206,0,0
1,0,0.200000,32,0,8,1.70213,1.70213,1.50861,0,0
1,0,0.100000,128,0,8,1.57739,1.57739,1.49203,0,0
1,1,0.100000,64,0,8,1.55318,1.55318,1.50464,0,0
0,0,0.100000,64,0,8,3.22171,3.22171,1.48797,0,0
1,0,0.100000,64,1,8,1.64292,1.64292,1.55189,0,0
1,0,0.200000,64,0,8,1.59803,1.59803,1.51299,0,0
1,1,0.100000,128,0,8,1.52365,1.52365,1.48319,0,0
0,1,0.100000,64,0,8,3.23749,3.23749,1.49348,0,0
1,1,0.100000,64,1,8,1.6402,1.6402,1.54476,0,0
1,1,0.200000,64,0,8,1.56664,1.56664,1.49382,0,0
1,1,0.100000,256,0,8,1.48982,1.48982,1.4933,0,0
0,1,0.100000,128,0,8,3.1998,3.1998,1.47477,0,0
1,1,0.100000,128,1,8,1.5711,1.5711,1.55016,0,0
1,1,0.200000,128,0,8,1.58355,1.58355,1.50403,0,0
1,1,0.100000,512,0,8,1.51403,1.51403,1.49674,0,0
1,0,0.100000,256,0,8,1.50186,1.50186,1.48712,0,0
0,1,0.100000,256,0,8,3.31033,3.31033,1.49923,0,0
1,1,0.100000,256,1,8,1.49582,1.49582,1.55095,0,0
1,1,0.200000,256,0,8,1.60819,1.60819,1.49608,0,0
