SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,7.92877,7.92877,1.99659,0,0
0,0,0.100000,32,0,4,5.26731,5.26731,1.87896,0,0
0,0,0.100000,64,0,4,4.30369,4.30369,1.90454,0,0
0,0,0.100000,128,0,4,3.84544,3.84544,1.90755,0,0
0,0,0.100000,256,0,4,4.63294,4.63294,1.90199,0,0
0,0,0.100000,512,0,4,3.58742,3.58742,1.90137,0,0
0,1,0.100000,512,0,4,3.53844,3.53844,1.92284,0,0
1,1,0.100000,512,0,4,1.96405,1.96405,1.91071,0,0
1,1,0.100000,512,1,4,2.5312,2.5312,2.02087,0,0
1,1,0.200000,512,0,4,2.02913,2.02913,1.96223,0,0
1,1,0.300000,512,0,4,1.97005,1.97005,1.91213,0,0
1,1,0.100000,16,0,4,5.92464,5.92464,1.92545,0,0
1,1,0.100000,32,0,4,3.86501,3.86501,1.88926,0,0
1,1,0.100000,64,0,4,2.75165,2.75165,1.91287,0,0
1,1,0.100000,128,0,4,2.31215,2.31215,1.89914,0,0
1,1,0.100000,256,0,4,2.46332,2.46332,1.90291,0,0
1,0,0.100000,512,0,4,1.94442,1.94442,1.90419,0,0
1,0,0.100000,512,1,4,1.96342,1.96342,1.97731,0,0
1,0,0.200000,512,0,4,1.94341,1.94341,1.91538,0,0
1,0,0.300000,512,0,4,1.93706,1.93706,1.9183,0,0
1,0,0.300000,16,0,4,5.10886,5.10886,1.93287,0,0
1,0,0.300000,32,0,4,3.84469,3.84469,1.9012,0,0
1,0,0.300000,64,0,4,2.77769,2.77769,1.90411,0,0
1,0,0.300000,128,0,4,2.31513,2.31513,1.88679,0,0
1,0,0.300000,256,0,4,2.01146,2.01146,1.91972,0,0
0,0,0.300000,512,0,4,3.58008,3.58008,1.91258,0,0
1,0,0.300000,512,1,4,1.99578,1.99578,1.95509,0,0
