SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,1,0.200000,32,1,8,5.35651,5.35651,1.98001,0,0
0,1,0.200000,512,0,4,3.53981,3.53981,1.86762,0,0
0,0,0.300000,256,1,4,3.56009,3.56009,1.96881,0,0
0,1,0.300000,512,1,4,3.43836,3.43836,1.96781,0,0
1,1,0.100000,512,1,8,1.94157,1.94157,1.98145,0,0
0,0,0.100000,16,1,4,6.13759,6.13759,1.97547,0,0
0,1,0.100000,32,0,4,5.24929,5.24929,1.93655,0,0
0,1,0.200000,128,1,8,3.8526,3.8526,1.9716,0,0
0,0,0.300000,128,0,8,4.06521,4.06521,1.91039,0,0
1,0,0.100000,32,1,4,3.90998,3.90998,1.96595,0,0
1,1,0.300000,32,1,4,3.67237,3.67237,1.97168,0,0
1,0,0.300000,16,0,8,5.23667,5.23667,1.93911,0,0
1,1,0.200000,16,0,8,5.58397,5.58397,1.91894,0,0
0,1,0.100000,16,1,8,6.61002,6.61002,1.98493,0,0
0,1,0.100000,128,1,4,3.70523,3.70523,1.97916,0,0
0,0,0.200000,512,1,8,3.39091,3.39091,1.96921,0,0
0,1,0.200000,256,0,8,3.72642,3.72642,1.91324,0,0
1,0,0.200000,256,1,8,2.27139,2.27139,1.96857,0,0
1,1,0.300000,16,0,4,5.94108,5.94108,1.93,0,0
0,0,0.300000,512,0,4,3.50102,3.50102,1.90164,0,0
1,1,0.100000,64,0,8,2.91629,2.91629,1.91954,0,0
0,1,0.100000,32,1,8,5.082,5.082,1.96733,0,0
1,1,0.300000,64,1,4,2.88599,2.88599,1.97682,0,0
0,0,0.100000,32,0,8,5.47011,5.47011,1.90987,0,0
0,1,0.200000,16,1,8,6.80467,6.80467,1.98702,0,0
0,0,0.200000,256,1,4,3.48669,3.48669,1.964,0,0
1,0,0.300000,32,0,8,4.17647,4.17647,1.89651,0,0
1,1,0.200000,64,0,8,2.99811,2.99811,1.93414,0,0
1,0,0.200000,64,1,8,2.9019,2.9019,1.99747,0,0
1,0,0.300000,512,1,8,1.96529,1.96529,1.96851,0,0
1,0,0.300000,16,1,4,5.451,5.451,1.997,0,0
1,1,0.200000,256,0,8,2.13582,2.13582,1.91536,0,0
0,0,0.200000,64,0,4,4.37076,4.37076,1.89497,0,0
0,0,0.300000,512,1,4,3.43966,3.43966,1.97501,0,0
0,1,0.200000,64,1,8,4.0939,4.0939,1.96786,0,0
0,1,0.300000,64,0,8,4.39279,4.39279,1.90932,0,0
0,0,0.300000,64,0,8,4.3981,4.3981,1.90071,0,0
0,0,0.200000,16,1,8,6.49186,6.49186,1.97932,0,0
1,0,0.100000,16,0,4,5.50154,5.50154,1.92505,0,0
1,1,0.200000,128,1,8,2.31326,2.31326,1.97066,0,0
1,0,0.200000,128,1,8,2.32709,2.32709,1.98933,0,0
0,0,0.200000,128,0,8,3.93189,3.93189,1.92452,0,0
1,0,0.200000,32,1,8,4.21379,4.21379,1.96545,0,0
1,0,0.100000,256,0,4,2.16257,2.16257,1.92321,0,0
1,0,0.100000,128,1,4,2.37942,2.37942,1.97205,0,0
1,0,0.300000,128,0,8,2.47124,2.47124,1.92928,0,0
1,0,0.200000,256,0,8,2.18477,2.18477,1.90049,0,0
1,1,0.200000,16,1,4,5.55947,5.55947,1.97864,0,0
0,0,0.100000,128,0,4,3.98185,3.98185,1.92039,0,0
1,0,0.200000,16,0,8,5.61392,5.61392,1.93463,0,0
1,1,0.200000,32,0,8,4.13702,4.13702,1.92236,0,0
1,0,0.100000,128,0,8,2.66731,2.66731,1.90837,0,0
0,0,0.100000,256,1,8,3.56308,3.56308,1.96481,0,0
1,1,0.300000,256,0,8,2.49476,2.49476,1.92,0,0
1,0,0.200000,128,0,4,2.51311,2.51311,1.91944,0,0
0,0,0.200000,256,0,4,3.98329,3.98329,1.91594,0,0
1,0,0.300000,128,1,4,2.40611,2.40611,1.98323,0,0
0,1,0.300000,256,1,8,3.70804,3.70804,1.97101,0,0
0,1,0.100000,128,0,8,5.28642,5.28642,1.90422,0,0
1,1,0.100000,512,0,4,2.02036,2.02036,1.8963,0,0
1,0,0.100000,256,1,4,2.21748,2.21748,1.96622,0,0
0,1,0.300000,64,1,8,4.38637,4.38637,1.98148,0,0
0,0,0.200000,32,1,8,5.55626,5.55626,1.97029,0,0
0,0,0.100000,256,0,4,4.10431,4.10431,1.92445,0,0
1,1,0.100000,32,0,8,4.40395,4.40395,1.91472,0,0
1,0,0.100000,64,0,4,3.05542,3.05542,1.91481,0,0
1,1,0.200000,32,1,8,3.88695,3.88695,1.98674,0,0
0,1,0.300000,16,0,4,6.79393,6.79393,1.93841,0,0
1,1,0.200000,128,0,4,2.40622,2.40622,1.93094,0,0
1,1,0.300000,128,0,8,2.53974,2.53974,1.93376,0,0
0,1,0.300000,32,0,8,5.81767,5.81767,1.90601,0,0
