SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,0,0.200000,512,0,8,2.42657,2.42657,1.9298,0,0
1,0,0.200000,256,0,8,3.51667,3.51667,1.86529,0,0
1,1,0.200000,512,0,8,1.9439,1.9439,1.89314,0,0
0,0,0.200000,512,0,8,3.52426,3.52426,1.89977,0,0
1,0,0.200000,512,1,8,2.00615,2.00615,1.9587,0,0
1,0,0.300000,512,0,8,1.97503,1.97503,1.89343,0,0
1,0,0.100000,512,0,8,1.96697,1.96697,1.90848,0,0
1,1,0.200000,256,0,8,2.10281,2.10281,1.89547,0,0
0,1,0.200000,512,0,8,3.5755,3.5755,1.89309,0,0
1,1,0.200000,512,1,8,2.60764,2.60764,1.97558,0,0
1,1,0.300000,512,0,8,3.14808,3.14808,1.91374,0,0
1,1,0.100000,512,0,8,2.39235,2.39235,1.90387,0,0
