SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,0.300000,16,1,8,2.24946,2.24946,1.5483,0,0
1,0,0.300000,16,1,8,2.21936,2.21936,1.50632,0,0
0,1,0.200000,64,0,8,3.2314,3.2314,1.46547,0,0
1,0,0.100000,16,1,4,2.22172,2.22172,1.54091,0,0
1,1,0.100000,16,1,8,2.20531,2.20531,1.54966,0,0
0,1,0.100000,64,1,8,3.0521,3.0521,1.51958,0,0
0,0,0.300000,512,1,8,2.90757,2.90757,1.51291,0,0
0,0,0.200000,512,1,4,2.90621,2.90621,1.52021,0,0
0,1,0.300000,128,0,4,3.22238,3.22238,1.4737,0,0
0,0,0.100000,128,1,8,2.98234,2.98234,1.51789,0,0
1,1,0.200000,16,1,4,2.1693,2.1693,1.53709,0,0
1,1,0.200000,512,0,8,1.48365,1.48365,1.4714,0,0
0,0,0.100000,16,0,4,3.65866,3.65866,1.47063,0,0
0,0,0.200000,32,0,4,3.39634,3.39634,1.46963,0,0
1,1,0.200000,64,0,4,1.5449,1.5449,1.49162,0,0
1,1,0.100000,64,1,4,1.64266,1.64266,1.52973,0,0
0,0,0.100000,256,0,8,3.13208,3.13208,1.47086,0,0
0,0,0.300000,32,0,4,3.36357,3.36357,1.47431,0,0
1,1,0.300000,32,0,4,1.67875,1.67875,1.48066,0,0
0,1,0.300000,16,1,4,3.57282,3.57282,1.55169,0,0
1,1,0.200000,32,1,4,1.84928,1.84928,1.52477,0,0
0,0,0.100000,512,1,8,2.9179,2.9179,1.52774,0,0
1,0,0.100000,16,0,8,1.92904,1.92904,1.50719,0,0
0,0,0.300000,256,0,4,3.13748,3.13748,1.47137,0,0
1,0,0.200000,256,1,4,1.48649,1.48649,1.54037,0,0
1,0,0.300000,512,1,8,1.63993,1.63993,1.52842,0,0
0,1,0.100000,32,1,4,3.31446,3.31446,1.51889,0,0
0,1,0.300000,64,1,8,3.04836,3.04836,1.51735,0,0
1,0,0.300000,16,0,8,2.01742,2.01742,1.48559,0,0
0,1,0.100000,256,1,4,2.95232,2.95232,1.5178,0,0
0,0,0.300000,128,0,4,3.13865,3.13865,1.48137,0,0
1,1,0.100000,64,0,8,1.56706,1.56706,1.49086,0,0
1,1,0.200000,256,1,8,1.4923,1.4923,1.51821,0,0
1,0,0.300000,64,0,4,1.54619,1.54619,1.46655,0,0
1,0,0.100000,256,1,8,1.49734,1.49734,1.52696,0,0
0,0,0.200000,512,0,4,3.295,3.295,1.46202,0,0
0,1,0.300000,256,0,4,3.40175,3.40175,1.47202,0,0
0,0,0.300000,32,1,8,3.31014,3.31014,1.51483,0,0
0,0,0.200000,16,0,4,3.63452,3.63452,1.48584,0,0
1,1,0.200000,64,1,4,1.64452,1.64452,1.52864,0,0
1,0,0.100000,256,0,4,1.50488,1.50488,1.47665,0,0
0,0,0.200000,256,1,4,2.93486,2.93486,1.51357,0,0
1,1,0.100000,32,0,8,1.6868,1.6868,1.47776,0,0
0,0,0.300000,256,1,8,2.92579,2.92579,1.50807,0,0
0,1,0.100000,128,1,8,3.05287,3.05287,1.53536,0,0
0,0,0.300000,128,1,8,2.96693,2.96693,1.5304,0,0
1,0,0.300000,256,1,8,1.48758,1.48758,1.51978,0,0
0,1,0.300000,16,0,4,3.64618,3.64618,1.46631,0,0
0,1,0.300000,32,1,4,3.48018,3.48018,1.51346,0,0
0,1,0.200000,16,1,8,3.65652,3.65652,1.54354,0,0
1,1,0.100000,16,0,4,1.91257,1.91257,1.50003,0,0
0,0,0.300000,16,0,4,3.67387,3.67387,1.50586,0,0
0,0,0.300000,512,0,8,3.09476,3.09476,1.46404,0,0
0,0,0.100000,512,0,8,3.15122,3.15122,1.45897,0,0
0,0,0.100000,128,0,4,3.16922,3.16922,1.48591,0,0
1,1,0.300000,512,0,4,1.51337,1.51337,1.47338,0,0
1,1,0.300000,256,1,4,1.49162,1.49162,1.52764,0,0
1,1,0.300000,16,0,4,1.95879,1.95879,1.48911,0,0
1,0,0.200000,64,1,4,1.72887,1.72887,1.53948,0,0
1,1,0.200000,256,0,8,1.47712,1.47712,1.48645,0,0
1,1,0.200000,512,1,8,1.48958,1.48958,1.54276,0,0
0,0,0.200000,16,1,4,3.62468,3.62468,1.51346,0,0
0,0,0.200000,256,0,8,3.11453,3.11453,1.46369,0,0
0,1,0.200000,128,1,8,3.02903,3.02903,1.52033,0,0
1,1,0.100000,256,0,4,1.5145,1.5145,1.46383,0,0
0,1,0.300000,256,1,8,3.02013,3.02013,1.51233,0,0
0,1,0.100000,16,1,4,3.59239,3.59239,1.52968,0,0
1,1,0.200000,128,1,8,1.55946,1.55946,1.51477,0,0
0,1,0.200000,256,1,8,2.95564,2.95564,1.51254,0,0
