SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,8.61783,8.61783,2.01716,0,0
0,0,0.100000,32,0,4,6.78478,6.78478,1.96974,0,0
0,0,0.100000,64,0,4,5.69933,5.69933,1.95451,0,0
0,0,0.100000,128,0,4,4.88067,4.88067,2.05805,0,0
0,0,0.100000,256,0,4,4.56379,4.56379,2.07167,0,0
0,0,0.100000,512,0,4,4.5278,4.5278,2.07167,0,0
0,1,0.100000,512,0,4,4.44076,4.44076,2.03022,0,0
0,1,0.100000,512,1,4,4.23396,4.23396,2.04182,0,0
0,1,0.200000,512,1,4,4.23371,4.23371,2.09279,0,0
0,1,0.300000,512,1,4,4.3344,4.3344,2.09357,0,0
1,1,0.200000,512,1,4,2.63281,2.63281,2.0843,0,0
1,1,0.200000,16,1,4,6.51337,6.51337,2.1034,0,0
1,1,0.200000,32,1,4,4.97519,4.97519,2.07959,0,0
1,1,0.200000,64,1,4,3.53135,3.53135,2.09275,0,0
1,1,0.200000,128,1,4,2.99463,2.99463,2.06442,0,0
1,1,0.200000,256,1,4,2.73484,2.73484,2.10376,0,0
1,0,0.200000,512,1,4,2.54975,2.54975,2.09195,0,0
1,0,0.200000,512,0,4,2.51409,2.51409,2.05051,0,0
1,0,0.100000,512,0,4,2.47117,2.47117,1.99398,0,0
1,0,0.300000,512,0,4,2.47593,2.47593,2.03355,0,0
1,0,0.100000,16,0,4,6.72945,6.72945,2.03342,0,0
1,0,0.100000,32,0,4,5.11837,5.11837,2.00271,0,0
1,0,0.100000,64,0,4,3.61463,3.61463,1.99873,0,0
1,0,0.100000,128,0,4,3.09121,3.09121,2.01732,0,0
1,0,0.100000,256,0,4,2.81557,2.81557,2.02157,0,0
1,1,0.100000,512,0,4,2.51606,2.51606,2.05309,0,0
1,0,0.100000,512,1,4,2.66187,2.66187,2.04184,0,0
