SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,1,0.300000,256,1,4,4.41379,4.41379,2.11145,0,0
1,0,0.300000,32,0,8,4.86331,4.86331,2.03107,0,0
0,0,0.100000,16,0,8,8.3675,8.3675,2.04085,0,0
0,1,0.100000,512,1,4,4.25747,4.25747,2.07455,0,0
0,0,0.100000,32,0,4,6.35522,6.35522,2.0123,0,0
1,1,0.200000,16,1,8,5.98581,5.98581,2.12605,0,0
0,0,0.200000,32,1,4,6.25328,6.25328,2.06245,0,0
1,1,0.300000,32,0,8,4.65626,4.65626,2.01299,0,0
1,1,0.200000,512,1,8,2.59928,2.59928,2.08321,0,0
1,0,0.300000,256,0,4,2.67783,2.67783,2.05189,0,0
0,1,0.200000,64,0,8,5.41283,5.41283,2.02045,0,0
0,0,0.100000,128,1,4,4.6923,4.6923,2.08803,0,0
1,1,0.100000,64,1,8,3.45213,3.45213,2.12102,0,0
0,0,0.300000,16,0,4,8.62671,8.62671,2.05104,0,0
1,1,0.200000,64,0,8,3.63844,3.63844,2.02511,0,0
0,0,0.200000,64,1,8,5.13168,5.13168,2.08254,0,0
0,1,0.300000,16,0,4,8.61813,8.61813,2.01327,0,0
1,1,0.200000,32,0,4,4.85189,4.85189,1.94729,0,0
1,1,0.100000,64,0,8,3.53045,3.53045,2.07091,0,0
1,0,0.300000,512,0,8,2.49919,2.49919,1.9675,0,0
1,1,0.300000,64,0,4,3.48936,3.48936,2.05105,0,0
0,1,0.300000,256,0,8,4.55844,4.55844,1.99592,0,0
0,1,0.100000,16,0,4,8.68085,8.68085,2.02538,0,0
1,1,0.300000,512,1,8,2.49803,2.49803,2.1043,0,0
0,0,0.300000,32,1,8,6.33582,6.33582,2.11588,0,0
1,0,0.300000,128,1,8,2.86221,2.86221,2.05398,0,0
1,1,0.200000,512,0,8,2.57368,2.57368,2.01143,0,0
1,1,0.300000,128,1,4,2.86147,2.86147,2.03561,0,0
0,1,0.100000,256,1,4,4.35637,4.35637,2.0822,0,0
1,1,0.100000,256,1,8,2.6616,2.6616,2.0668,0,0
1,1,0.200000,128,0,4,2.86619,2.86619,2.03803,0,0
1,0,0.300000,256,1,8,2.60294,2.60294,2.07264,0,0
1,0,0.200000,256,0,8,2.56956,2.56956,2.02836,0,0
1,0,0.100000,256,1,8,2.65474,2.65474,2.1117,0,0
0,0,0.100000,256,0,4,4.53657,4.53657,2.02638,0,0
1,0,0.200000,32,1,8,4.734,4.734,2.02452,0,0
0,0,0.200000,16,0,4,8.20466,8.20466,2.0286,0,0
1,1,0.200000,128,1,8,2.88296,2.88296,2.07381,0,0
1,0,0.100000,64,0,8,3.58663,3.58663,1.98661,0,0
0,1,0.300000,512,0,8,4.51622,4.51622,1.98808,0,0
0,1,0.200000,16,1,4,8.51947,8.51947,2.09656,0,0
0,1,0.100000,64,0,8,5.54327,5.54327,2.07517,0,0
0,1,0.100000,128,1,4,4.8324,4.8324,2.07627,0,0
1,0,0.300000,16,1,4,5.96247,5.96247,2.14161,0,0
0,1,0.200000,512,1,4,4.44188,4.44188,2.10505,0,0
1,1,0.100000,128,0,8,3.01702,3.01702,2.05385,0,0
1,1,0.100000,128,1,8,3.13097,3.13097,2.10045,0,0
0,0,0.300000,128,1,8,4.78749,4.78749,2.08948,0,0
1,0,0.100000,32,0,4,5.02273,5.02273,2.0052,0,0
1,1,0.100000,512,0,8,2.50433,2.50433,2.00837,0,0
1,1,0.300000,32,1,8,4.78197,4.78197,2.07764,0,0
0,1,0.100000,128,0,4,4.93976,4.93976,2.01501,0,0
0,0,0.200000,16,1,4,8.69406,8.69406,2.11942,0,0
0,1,0.200000,256,1,4,4.50169,4.50169,2.04856,0,0
0,0,0.300000,64,0,4,5.564,5.564,2.03636,0,0
0,1,0.300000,512,1,8,4.75358,4.75358,2.0933,0,0
1,0,0.200000,64,1,4,3.44227,3.44227,2.07934,0,0
0,1,0.300000,64,1,4,5.31392,5.31392,2.13024,0,0
1,0,0.200000,32,0,8,5.10011,5.10011,2.04806,0,0
0,1,0.100000,64,1,8,5.13282,5.13282,2.05999,0,0
0,1,0.100000,16,1,4,8.45878,8.45878,2.12018,0,0
0,0,0.100000,256,1,4,4.33853,4.33853,2.09722,0,0
1,0,0.100000,128,1,8,2.78824,2.78824,2.06953,0,0
0,0,0.100000,512,1,4,4.23124,4.23124,2.12552,0,0
1,0,0.100000,16,0,4,6.19349,6.19349,2.06161,0,0
