SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,8.47462,8.47462,2.09183,0,0
0,0,0.100000,32,0,4,6.72721,6.72721,2.0049,0,0
0,1,0.100000,16,0,4,8.06092,8.06092,2.0679,0,0
0,0,0.100000,16,1,4,7.55065,7.55065,2.12536,0,0
0,0,0.200000,16,0,4,8.32033,8.32033,1.98323,0,0
1,0,0.100000,16,0,4,6.20245,6.20245,2.03007,0,0
1,0,0.100000,32,0,4,4.59186,4.59186,1.94799,0,0
1,1,0.100000,16,0,4,6.64273,6.64273,2.03262,0,0
1,0,0.100000,16,1,4,6.03409,6.03409,2.06394,0,0
1,0,0.200000,16,0,4,6.19403,6.19403,2.02358,0,0
1,0,0.100000,64,0,4,3.40836,3.40836,2.04929,0,0
1,1,0.100000,32,0,4,4.5273,4.5273,2.01105,0,0
1,0,0.100000,32,1,4,4.56484,4.56484,2.12259,0,0
1,0,0.200000,32,0,4,4.58395,4.58395,2.03603,0,0
1,0,0.100000,128,0,4,3.1791,3.1791,2.02384,0,0
1,1,0.100000,64,0,4,3.48234,3.48234,2.03347,0,0
1,0,0.100000,64,1,4,3.43717,3.43717,2.12715,0,0
1,0,0.200000,64,0,4,3.37927,3.37927,1.99317,0,0
0,0,0.100000,64,0,4,5.35648,5.35648,1.99836,0,0
1,0,0.100000,256,0,4,2.59367,2.59367,2.0498,0,0
1,1,0.100000,128,0,4,2.92025,2.92025,2.00197,0,0
1,0,0.100000,128,1,4,2.7942,2.7942,2.08762,0,0
1,0,0.200000,128,0,4,3.06916,3.06916,2.01087,0,0
0,0,0.100000,128,0,4,4.73815,4.73815,2.02264,0,0
1,0,0.100000,512,0,4,2.56332,2.56332,2.04771,0,0
1,1,0.100000,256,0,4,2.64064,2.64064,2.04524,0,0
1,0,0.100000,256,1,4,2.60789,2.60789,2.04504,0,0
1,0,0.200000,256,0,4,2.70969,2.70969,2.03265,0,0
0,0,0.100000,256,0,4,4.79956,4.79956,1.99941,0,0
1,1,0.100000,512,0,4,2.70158,2.70158,2.0978,0,0
1,0,0.100000,512,1,4,2.54771,2.54771,2.09538,0,0
1,0,0.200000,512,0,4,2.63325,2.63325,2.02602,0,0
0,0,0.100000,512,0,4,4.53599,4.53599,2.04029,0,0
1,1,0.100000,512,1,4,2.60652,2.60652,2.01123,0,0
1,0,0.200000,512,1,4,2.52122,2.52122,2.07873,0,0
0,0,0.100000,512,1,4,4.27426,4.27426,2.10914,0,0
1,0,0.200000,256,1,4,2.64721,2.64721,2.09485,0,0
1,1,0.200000,512,1,4,2.48166,2.48166,2.08667,0,0
1,0,0.300000,512,1,4,2.53995,2.53995,2.08115,0,0
0,0,0.200000,512,1,4,4.28802,4.28802,2.06849,0,0
1,1,0.200000,256,1,4,2.67239,2.67239,2.10455,0,0
1,1,0.200000,512,0,4,2.49598,2.49598,2.02319,0,0
1,1,0.300000,512,1,4,2.48597,2.48597,2.0745,0,0
0,1,0.200000,512,1,4,4.26999,4.26999,2.09454,0,0
