SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,4.48533,4.48533,1.63718,0,0
0,0,0.100000,32,0,4,4.11874,4.11874,1.61212,0,0
0,0,0.100000,64,0,4,3.97755,3.97755,1.61637,0,0
0,0,0.100000,128,0,4,3.99581,3.99581,1.5898,0,0
0,0,0.100000,256,0,4,3.82339,3.82339,1.60879,0,0
0,0,0.100000,512,0,4,3.91195,3.91195,1.58055,0,0
0,1,0.100000,256,0,4,3.93622,3.93622,1.53085,0,0
0,0,0.100000,256,1,4,3.72492,3.72492,1.63714,0,0
0,0,0.200000,256,1,4,3.65039,3.65039,1.66017,0,0
0,0,0.300000,256,1,4,3.76667,3.76667,1.6497,0,0
1,0,0.200000,256,1,4,1.83951,1.83951,1.6752,0,0
1,0,0.200000,16,1,4,2.70669,2.70669,1.72789,0,0
1,0,0.200000,32,1,4,2.3523,2.3523,1.65391,0,0
1,0,0.200000,64,1,4,1.99119,1.99119,1.63002,0,0
1,0,0.200000,128,1,4,1.90145,1.90145,1.61893,0,0
1,0,0.200000,512,1,4,1.82895,1.82895,1.65587,0,0
1,1,0.200000,512,1,4,1.83484,1.83484,1.65121,0,0
1,0,0.200000,512,0,4,1.91386,1.91386,1.58181,0,0
1,0,0.100000,512,1,4,2.01388,2.01388,1.61396,0,0
1,0,0.300000,512,1,4,1.8426,1.8426,1.7706,0,0
0,0,0.200000,512,1,4,3.68253,3.68253,1.62273,0,0
