SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,0.100000,256,1,8,1.84724,1.84724,1.66525,0,0
1,0,0.200000,32,1,8,2.30388,2.30388,1.64368,0,0
1,1,0.200000,16,0,8,2.34828,2.34828,1.59071,0,0
0,1,0.300000,32,1,8,4.1401,4.1401,1.65322,0,0
1,1,0.200000,512,1,4,1.83401,1.83401,1.66633,0,0
0,0,0.100000,128,1,8,3.64045,3.64045,1.65052,0,0
1,0,0.200000,512,0,8,1.94802,1.94802,1.58195,0,0
0,1,0.100000,64,1,8,3.82731,3.82731,1.64922,0,0
1,1,0.100000,64,1,8,2.02414,2.02414,1.65931,0,0
1,1,0.200000,512,0,4,1.89551,1.89551,1.55664,0,0
0,0,0.100000,128,0,4,3.93497,3.93497,1.58701,0,0
1,0,0.200000,16,0,4,2.37256,2.37256,1.59145,0,0
1,1,0.200000,32,0,8,2.15945,2.15945,1.57007,0,0
0,1,0.200000,64,0,4,3.96222,3.96222,1.55759,0,0
1,0,0.100000,128,0,4,1.86534,1.86534,1.59648,0,0
1,0,0.100000,64,0,8,1.88425,1.88425,1.56347,0,0
0,0,0.100000,256,0,8,3.85411,3.85411,1.56935,0,0
1,1,0.100000,32,0,8,2.10926,2.10926,1.59386,0,0
0,0,0.300000,256,0,4,3.83261,3.83261,1.61381,0,0
0,1,0.100000,256,1,8,3.6749,3.6749,1.65074,0,0
1,1,0.100000,256,0,4,1.94762,1.94762,1.58078,0,0
1,1,0.100000,512,1,4,1.91957,1.91957,1.63705,0,0
0,0,0.300000,128,1,8,3.78237,3.78237,1.663,0,0
1,0,0.300000,16,1,8,2.71721,2.71721,1.69853,0,0
0,0,0.200000,32,0,8,4.18257,4.18257,1.56964,0,0
0,1,0.300000,512,0,4,3.96134,3.96134,1.60508,0,0
0,0,0.300000,256,1,8,3.84178,3.84178,1.60264,0,0
1,0,0.300000,64,0,8,1.91274,1.91274,1.60853,0,0
0,1,0.100000,32,1,4,4.15648,4.15648,1.61154,0,0
0,0,0.200000,256,1,4,3.65777,3.65777,1.6625,0,0
0,0,0.300000,128,0,8,3.8782,3.8782,1.56127,0,0
0,0,0.300000,64,0,8,3.89301,3.89301,1.58329,0,0
1,1,0.200000,64,0,8,1.88781,1.88781,1.57911,0,0
0,0,0.100000,32,1,4,4.07517,4.07517,1.61296,0,0
1,1,0.300000,512,0,8,1.91524,1.91524,1.62385,0,0
0,0,0.100000,64,0,8,3.90038,3.90038,1.53672,0,0
0,1,0.300000,256,1,8,3.68458,3.68458,1.66597,0,0
1,0,0.200000,128,1,4,1.90539,1.90539,1.63411,0,0
1,0,0.100000,256,0,4,1.84934,1.84934,1.5834,0,0
0,0,0.200000,64,1,8,3.7823,3.7823,1.64371,0,0
1,0,0.200000,256,1,8,1.83142,1.83142,1.70105,0,0
0,0,0.200000,512,1,8,3.6865,3.6865,1.6786,0,0
1,0,0.100000,512,1,4,1.82837,1.82837,1.63674,0,0
0,0,0.200000,32,1,4,4.15521,4.15521,1.66111,0,0
1,1,0.100000,16,0,8,2.36014,2.36014,1.61625,0,0
0,1,0.300000,128,1,4,3.70715,3.70715,1.66142,0,0
1,1,0.200000,64,1,8,2.01468,2.01468,1.64726,0,0
1,0,0.300000,32,1,4,2.30965,2.30965,1.63925,0,0
0,1,0.300000,32,0,4,4.1108,4.1108,1.57082,0,0
0,1,0.200000,32,1,8,4.07428,4.07428,1.65804,0,0
0,1,0.200000,16,0,8,4.45041,4.45041,1.61671,0,0
0,1,0.100000,16,1,4,4.51515,4.51515,1.69175,0,0
1,1,0.300000,32,1,8,2.27098,2.27098,1.62966,0,0
1,0,0.100000,128,1,8,1.93388,1.93388,1.67249,0,0
1,1,0.200000,256,0,8,1.87771,1.87771,1.58727,0,0
0,1,0.200000,512,0,4,3.96566,3.96566,1.60729,0,0
0,1,0.200000,128,1,4,3.67579,3.67579,1.61335,0,0
0,1,0.200000,256,1,8,3.64019,3.64019,1.65124,0,0
0,0,0.100000,32,0,4,4.24844,4.24844,1.5877,0,0
0,1,0.100000,128,0,8,4.03849,4.03849,1.58456,0,0
1,1,0.300000,16,0,4,2.36213,2.36213,1.6183,0,0
1,1,0.200000,128,0,8,1.83289,1.83289,1.60705,0,0
0,1,0.200000,128,0,8,3.95743,3.95743,1.62365,0,0
1,1,0.200000,128,1,8,1.90705,1.90705,1.61288,0,0
0,1,0.100000,128,1,8,3.6466,3.6466,1.64527,0,0
0,1,0.300000,64,0,8,3.92672,3.92672,1.58153,0,0
0,0,0.100000,512,0,8,3.89178,3.89178,1.56209,0,0
0,1,0.100000,512,1,8,3.64303,3.64303,1.63103,0,0
1,0,0.100000,16,0,4,2.33692,2.33692,1.61416,0,0
1,1,0.100000,64,0,8,1.89144,1.89144,1.57362,0,0
1,1,0.300000,128,0,8,1.83696,1.83696,1.57264,0,0
1,0,0.300000,256,0,8,1.84818,1.84818,1.55672,0,0
1,1,0.100000,16,1,4,2.65484,2.65484,1.68283,0,0
1,1,0.200000,16,1,4,2.66968,2.66968,1.67603,0,0
1,0,0.300000,128,0,4,1.87135,1.87135,1.57744,0,0
