SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,32,1,4,4.33131,4.33131,1.67335,0,0
0,0,0.100000,64,1,4,3.8866,3.8866,1.64369,0,0
0,0,0.100000,16,1,4,4.74314,4.74314,1.6679,0,0
0,1,0.100000,32,1,4,4.08988,4.08988,1.6794,0,0
1,0,0.100000,32,1,4,2.32,2.32,1.68389,0,0
0,0,0.100000,32,0,4,4.18464,4.18464,1.62865,0,0
0,0,0.200000,32,1,4,4.21689,4.21689,1.67515,0,0
1,0,0.100000,64,1,4,2.14654,2.14654,1.62644,0,0
1,0,0.100000,16,1,4,2.8769,2.8769,1.68931,0,0
1,1,0.100000,32,1,4,2.30199,2.30199,1.65322,0,0
1,0,0.100000,32,0,4,2.13806,2.13806,1.60985,0,0
1,0,0.200000,32,1,4,2.43453,2.43453,1.65525,0,0
1,0,0.100000,64,0,4,1.94485,1.94485,1.61395,0,0
1,0,0.100000,16,0,4,2.45686,2.45686,1.63328,0,0
1,1,0.100000,32,0,4,2.05861,2.05861,1.53871,0,0
1,0,0.200000,32,0,4,2.08337,2.08337,1.62811,0,0
1,0,0.100000,128,0,4,1.98436,1.98436,1.59082,0,0
1,1,0.100000,64,0,4,1.99062,1.99062,1.61656,0,0
0,0,0.100000,64,0,4,4.02106,4.02106,1.56232,0,0
1,0,0.200000,64,0,4,1.97883,1.97883,1.58367,0,0
