SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,8.17676,8.17676,2.19793,0,0
0,0,0.100000,32,0,4,6.53099,6.53099,1.9943,0,0
0,0,0.100000,64,0,4,5.28743,5.28743,2.03038,0,0
0,0,0.100000,128,0,4,4.70585,4.70585,2.04738,0,0
0,0,0.100000,256,0,4,4.47034,4.47034,2.01459,0,0
0,0,0.100000,512,0,4,4.41678,4.41678,2.07378,0,0
0,1,0.100000,512,0,4,4.45542,4.45542,2.01456,0,0
1,0,0.100000,512,0,4,2.47384,2.47384,2.04034,0,0
1,0,0.100000,512,1,4,2.5004,2.5004,2.09067,0,0
1,0,0.200000,512,0,4,2.46673,2.46673,1.99327,0,0
1,0,0.300000,512,0,4,2.49255,2.49255,2.03469,0,0
1,0,0.200000,16,0,4,6.06386,6.06386,2.01578,0,0
1,0,0.200000,32,0,4,4.43213,4.43213,2.03554,0,0
1,0,0.200000,64,0,4,3.32003,3.32003,1.9689,0,0
1,0,0.200000,128,0,4,2.76338,2.76338,1.99203,0,0
1,0,0.200000,256,0,4,2.5601,2.5601,2.04854,0,0
1,1,0.200000,512,0,4,2.45883,2.45883,2.0386,0,0
0,1,0.200000,512,0,4,4.41744,4.41744,2.09999,0,0
1,1,0.200000,512,1,4,2.52863,2.52863,2.06955,0,0
1,1,0.100000,512,0,4,2.4697,2.4697,1.98966,0,0
1,1,0.300000,512,0,4,2.6125,2.6125,1.99582,0,0
1,1,0.200000,16,0,4,6.39028,6.39028,2.05055,0,0
1,1,0.200000,32,0,4,4.43438,4.43438,2.01628,0,0
1,1,0.200000,64,0,4,3.26593,3.26593,2.03512,0,0
1,1,0.200000,128,0,4,2.76946,2.76946,2.01663,0,0
1,1,0.200000,256,0,4,2.53397,2.53397,2.00628,0,0
