SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,8.96471,8.96471,2.05267,0,0
0,0,0.100000,32,0,4,7.01863,7.01863,1.96079,0,0
0,1,0.100000,16,0,4,8.22926,8.22926,2.04567,0,0
1,0,0.100000,16,0,4,6.12526,6.12526,2.03599,0,0
0,0,0.100000,16,1,4,7.56874,7.56874,2.12099,0,0
0,0,0.200000,16,0,4,8.03395,8.03395,1.99074,0,0
1,0,0.100000,32,0,4,4.51528,4.51528,1.99131,0,0
1,1,0.100000,16,0,4,6.73864,6.73864,2.03056,0,0
1,0,0.100000,16,1,4,6.62248,6.62248,2.07005,0,0
1,0,0.200000,16,0,4,6.88698,6.88698,2.04092,0,0
1,0,0.100000,64,0,4,3.42632,3.42632,2.03386,0,0
1,1,0.100000,32,0,4,4.66768,4.66768,2.00123,0,0
1,0,0.100000,32,1,4,4.45498,4.45498,2.05246,0,0
1,0,0.200000,32,0,4,4.48772,4.48772,1.98371,0,0
1,0,0.100000,128,0,4,2.80138,2.80138,2.01214,0,0
1,1,0.100000,64,0,4,3.32538,3.32538,2.01055,0,0
0,0,0.100000,64,0,4,5.24945,5.24945,2.0271,0,0
1,0,0.100000,64,1,4,3.33933,3.33933,2.06205,0,0
1,0,0.200000,64,0,4,3.58568,3.58568,1.99625,0,0
1,0,0.100000,256,0,4,2.57395,2.57395,2.02537,0,0
1,1,0.100000,128,0,4,2.9068,2.9068,2.05276,0,0
0,0,0.100000,128,0,4,4.71785,4.71785,2.0238,0,0
1,0,0.100000,128,1,4,2.82659,2.82659,2.10709,0,0
1,0,0.200000,128,0,4,2.85777,2.85777,2.02993,0,0
1,0,0.100000,512,0,4,2.50512,2.50512,2.03342,0,0
1,1,0.100000,256,0,4,2.59158,2.59158,2.05975,0,0
0,0,0.100000,256,0,4,4.47293,4.47293,2.05104,0,0
1,0,0.100000,256,1,4,2.73535,2.73535,2.08148,0,0
1,0,0.200000,256,0,4,2.66119,2.66119,2.01615,0,0
1,1,0.100000,512,0,4,2.5119,2.5119,2.01343,0,0
0,0,0.100000,512,0,4,4.48643,4.48643,2.02017,0,0
1,0,0.100000,512,1,4,2.52345,2.52345,2.11332,0,0
1,0,0.200000,512,0,4,2.53195,2.53195,2.01241,0,0
