SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,0.100000,256,0,4,2.12763,2.12763,1.64008,0,0
1,1,0.100000,64,1,4,2.00963,2.00963,1.62203,0,0
0,1,0.100000,64,0,4,4.00006,4.00006,1.59424,0,0
1,1,0.200000,128,0,8,1.89775,1.89775,1.5998,0,0
0,0,0.100000,32,0,8,4.13272,4.13272,1.59339,0,0
0,0,0.100000,16,1,8,4.40459,4.40459,1.6303,0,0
1,1,0.300000,512,0,8,1.91228,1.91228,1.59728,0,0
1,0,0.100000,32,0,8,2.1027,2.1027,1.55903,0,0
1,0,0.200000,32,1,4,2.32681,2.32681,1.63846,0,0
1,0,0.200000,256,0,4,1.8726,1.8726,1.60173,0,0
0,1,0.300000,256,0,4,4.04809,4.04809,1.59476,0,0
1,1,0.300000,256,0,8,1.86942,1.86942,1.59121,0,0
1,1,0.100000,512,1,8,1.96278,1.96278,1.61364,0,0
1,1,0.200000,16,0,4,2.34144,2.34144,1.63497,0,0
1,1,0.300000,256,1,4,1.86976,1.86976,1.68855,0,0
1,0,0.300000,512,0,4,2.0621,2.0621,1.58128,0,0
1,0,0.300000,512,1,4,1.90219,1.90219,1.69992,0,0
0,1,0.100000,64,1,8,3.80354,3.80354,1.61556,0,0
1,1,0.100000,64,0,4,1.90053,1.90053,1.58177,0,0
1,1,0.300000,128,0,8,1.90374,1.90374,1.57336,0,0
0,0,0.200000,256,1,4,3.68501,3.68501,1.65297,0,0
0,0,0.300000,16,1,4,4.5988,4.5988,1.67057,0,0
0,0,0.100000,64,0,4,3.92497,3.92497,1.54543,0,0
0,0,0.100000,256,0,4,3.91755,3.91755,1.59989,0,0
1,1,0.300000,16,1,4,2.68151,2.68151,1.66135,0,0
1,1,0.200000,256,1,8,1.94959,1.94959,1.63045,0,0
0,1,0.100000,16,0,4,4.52951,4.52951,1.62292,0,0
0,1,0.300000,256,1,4,3.67289,3.67289,1.65905,0,0
1,0,0.300000,128,1,4,1.94371,1.94371,1.61622,0,0
1,0,0.100000,16,0,4,2.33634,2.33634,1.66595,0,0
1,0,0.100000,256,1,8,1.85024,1.85024,1.64718,0,0
0,0,0.200000,32,1,4,4.13598,4.13598,1.64259,0,0
1,0,0.100000,128,1,8,2.2221,2.2221,1.68508,0,0
0,1,0.100000,128,1,4,3.70325,3.70325,1.6755,0,0
0,1,0.100000,256,1,4,3.67821,3.67821,1.63483,0,0
0,1,0.200000,64,1,8,3.72759,3.72759,1.66546,0,0
1,0,0.100000,32,1,4,2.3219,2.3219,1.65398,0,0
0,0,0.200000,64,1,4,3.77968,3.77968,1.67046,0,0
0,1,0.200000,64,0,4,3.98226,3.98226,1.57767,0,0
0,1,0.300000,32,1,4,4.07365,4.07365,1.64485,0,0
1,1,0.300000,64,1,4,2.03162,2.03162,1.64735,0,0
1,0,0.100000,256,0,4,1.86792,1.86792,1.57958,0,0
1,1,0.200000,32,0,4,2.17921,2.17921,1.63454,0,0
1,1,0.200000,64,1,4,2.01234,2.01234,1.68086,0,0
1,1,0.100000,128,0,8,2.02858,2.02858,1.60158,0,0
1,1,0.200000,16,1,4,2.69028,2.69028,1.62405,0,0
1,0,0.300000,256,1,4,1.87366,1.87366,1.67155,0,0
0,0,0.300000,128,1,8,3.65373,3.65373,1.64086,0,0
1,0,0.200000,512,1,8,1.84702,1.84702,1.64322,0,0
0,1,0.100000,16,1,8,4.4007,4.4007,1.65427,0,0
0,0,0.100000,128,1,4,3.66466,3.66466,1.68339,0,0
0,0,0.200000,256,0,8,3.94573,3.94573,1.56318,0,0
0,1,0.200000,128,1,4,3.68723,3.68723,1.65323,0,0
1,1,0.100000,32,0,4,2.1189,2.1189,1.6352,0,0
1,0,0.200000,64,1,8,2.01327,2.01327,1.67205,0,0
1,1,0.300000,128,1,4,1.91804,1.91804,1.67075,0,0
1,0,0.200000,64,0,8,1.90152,1.90152,1.58613,0,0
0,0,0.200000,32,0,8,4.11521,4.11521,1.62941,0,0
1,1,0.200000,64,0,8,1.91312,1.91312,1.60193,0,0
1,1,0.300000,32,1,4,2.24772,2.24772,1.70106,0,0
0,0,0.300000,32,0,4,4.14638,4.14638,1.58425,0,0
0,1,0.200000,256,1,8,3.86197,3.86197,1.66604,0,0
0,0,0.300000,256,0,4,3.91854,3.91854,1.54452,0,0
0,1,0.300000,16,1,4,4.38651,4.38651,1.67321,0,0
0,0,0.300000,256,1,4,3.66994,3.66994,1.65453,0,0
