SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,4.52751,4.52751,1.66667,0,0
0,0,0.100000,32,0,4,4.17807,4.17807,1.58247,0,0
0,1,0.100000,16,0,4,4.40994,4.40994,1.61241,0,0
1,0,0.100000,16,0,4,2.34269,2.34269,1.66203,0,0
0,0,0.100000,16,1,4,4.406,4.406,1.65194,0,0
0,0,0.200000,16,0,4,4.49169,4.49169,1.57694,0,0
1,0,0.100000,32,0,4,2.07005,2.07005,1.61382,0,0
1,1,0.100000,16,0,4,2.35808,2.35808,1.60244,0,0
1,0,0.100000,16,1,4,2.72816,2.72816,1.67297,0,0
1,0,0.200000,16,0,4,2.44853,2.44853,1.59825,0,0
1,0,0.100000,64,0,4,1.89385,1.89385,1.59655,0,0
1,1,0.100000,32,0,4,2.06587,2.06587,1.583,0,0
1,0,0.100000,32,1,4,2.3154,2.3154,1.66111,0,0
1,0,0.200000,32,0,4,2.08406,2.08406,1.60488,0,0
1,0,0.100000,128,0,4,1.91757,1.91757,1.63647,0,0
1,1,0.100000,64,0,4,1.90472,1.90472,1.58952,0,0
0,0,0.100000,64,0,4,3.93904,3.93904,1.58238,0,0
1,0,0.100000,64,1,4,2.15942,2.15942,1.659,0,0
1,0,0.200000,64,0,4,1.9069,1.9069,1.62807,0,0
