SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,0.200000,16,1,4,88.4486,88.4486,1.90828,0,0
1,1,0.200000,32,1,4,63.8775,63.8775,1.90671,0,0
1,1,0.200000,64,1,4,53.224,53.224,1.90328,0,0
1,1,0.200000,128,1,4,49.292,49.292,1.90801,0,0
1,1,0.200000,256,1,4,49.0431,49.0431,1.89938,0,0
1,1,0.200000,512,1,4,50.379,50.379,1.89135,0,0
1,0,0.200000,256,1,4,51.3866,51.3866,1.9078,0,0
0,1,0.200000,256,1,4,133.92,133.92,1.89474,0,0
1,1,0.200000,256,0,4,51.8186,51.8186,1.80847,0,0
1,1,0.100000,256,1,4,49.1154,49.1154,1.89598,0,0
1,1,0.300000,256,1,4,48.8673,48.8673,1.9029,0,0
1,1,0.300000,16,1,4,87.5923,87.5923,1.91458,0,0
1,1,0.300000,32,1,4,64.6073,64.6073,1.90363,0,0
1,1,0.300000,64,1,4,53.2867,53.2867,1.90344,0,0
1,1,0.300000,128,1,4,49.5427,49.5427,1.90135,0,0
1,1,0.300000,512,1,4,50.1343,50.1343,1.89828,0,0
1,0,0.300000,256,1,4,51.586,51.586,1.89774,0,0
0,1,0.300000,256,1,4,134.31,134.31,1.88094,0,0
1,1,0.300000,256,0,4,51.7814,51.7814,1.79283,0,0
