SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,0,0.100000,128,0,4,52.6271,52.6271,1.81203,0,0
0,1,0.100000,128,1,4,129.099,129.099,1.91075,0,0
1,0,0.200000,64,0,8,54.729,54.729,1.82026,0,0
1,0,0.300000,32,0,8,64.0814,64.0814,1.8183,0,0
0,0,0.200000,32,0,4,161.732,161.732,1.80837,0,0
1,0,0.300000,16,0,8,83.7131,83.7131,1.83576,0,0
0,1,0.300000,32,1,8,130.45,130.45,1.89683,0,0
0,0,0.300000,64,0,8,157.848,157.848,1.81882,0,0
1,1,0.200000,256,1,4,48.8515,48.8515,1.92227,0,0
0,0,0.300000,512,0,8,161.776,161.776,1.82137,0,0
1,1,0.100000,256,0,4,51.5191,51.5191,1.81718,0,0
0,0,0.300000,256,1,4,132.946,132.946,1.91197,0,0
1,0,0.100000,64,1,8,53.5841,53.5841,1.91529,0,0
0,1,0.300000,128,0,4,159.627,159.627,1.81289,0,0
1,0,0.200000,128,1,8,49.0715,49.0715,1.9089,0,0
1,1,0.100000,32,1,4,63.4024,63.4024,1.92766,0,0
1,1,0.200000,64,1,8,53.2797,53.2797,1.92362,0,0
1,1,0.300000,16,0,4,83.8032,83.8032,1.8356,0,0
1,0,0.200000,16,1,4,89.4792,89.4792,1.93253,0,0
1,1,0.200000,16,0,4,83.3604,83.3604,1.83587,0,0
0,0,0.300000,16,0,8,172.005,172.005,1.82296,0,0
0,0,0.100000,256,1,8,132.9,132.9,1.91323,0,0
1,0,0.200000,64,1,4,52.8969,52.8969,1.908,0,0
0,1,0.200000,512,1,4,138.622,138.622,1.89935,0,0
1,1,0.100000,128,1,4,49.6504,49.6504,1.9067,0,0
1,1,0.300000,256,1,4,48.9388,48.9388,1.91166,0,0
1,0,0.100000,256,0,4,52.427,52.427,1.82775,0,0
0,0,0.200000,16,1,4,147.932,147.932,1.91088,0,0
1,1,0.300000,128,0,8,51.3317,51.3317,1.82607,0,0
1,1,0.100000,256,1,4,49.557,49.557,1.9198,0,0
1,0,0.100000,32,0,8,64.126,64.126,1.82049,0,0
1,0,0.300000,512,1,8,52.3765,52.3765,1.91494,0,0
0,1,0.100000,256,1,8,133.71,133.71,1.90157,0,0
1,0,0.100000,256,1,4,51.0163,51.0163,1.91098,0,0
0,0,0.100000,64,0,8,157.9,157.9,1.81581,0,0
0,1,0.100000,512,0,4,161.317,161.317,1.81787,0,0
0,0,0.200000,128,0,4,158.986,158.986,1.81149,0,0
1,0,0.100000,512,0,4,53.6137,53.6137,1.81522,0,0
1,0,0.200000,256,1,4,51.3532,51.3532,1.91061,0,0
1,0,0.300000,256,0,4,52.4817,52.4817,1.82655,0,0
1,1,0.100000,512,1,4,50.3449,50.3449,1.92333,0,0
1,0,0.300000,16,1,8,88.0497,88.0497,1.92794,0,0
1,0,0.100000,64,0,4,54.4932,54.4932,1.81636,0,0
0,1,0.100000,128,0,8,159.666,159.666,1.81469,0,0
0,1,0.200000,256,1,4,133.851,133.851,1.90005,0,0
0,0,0.100000,512,1,8,137.825,137.825,1.90752,0,0
0,0,0.100000,16,0,8,171.59,171.59,1.82088,0,0
1,0,0.200000,128,0,8,52.5037,52.5037,1.82209,0,0
1,1,0.200000,32,1,4,63.4767,63.4767,1.91636,0,0
1,1,0.200000,64,0,8,53.4633,53.4633,1.83138,0,0
0,0,0.200000,16,0,4,172.395,172.395,1.83744,0,0
0,1,0.300000,512,0,4,161.947,161.947,1.81557,0,0
0,1,0.100000,16,0,8,171.6,171.6,1.8362,0,0
0,1,0.100000,64,1,4,126.839,126.839,1.90237,0,0
0,0,0.300000,64,1,4,127.154,127.154,1.90532,0,0
1,0,0.200000,32,0,8,64.1557,64.1557,1.81732,0,0
0,0,0.100000,32,1,8,131.221,131.221,1.90065,0,0
0,1,0.100000,16,1,8,150.847,150.847,1.93067,0,0
1,0,0.300000,128,1,8,49.1687,49.1687,1.92994,0,0
0,1,0.300000,64,0,8,158.428,158.428,1.8226,0,0
1,0,0.200000,32,1,4,64.9456,64.9456,1.92519,0,0
0,1,0.300000,512,1,8,138.25,138.25,1.90642,0,0
1,1,0.100000,32,0,4,63.2728,63.2728,1.81599,0,0
0,0,0.300000,512,1,8,137.995,137.995,1.90548,0,0
1,0,0.300000,256,1,4,51.2764,51.2764,1.91189,0,0
1,1,0.100000,64,0,4,53.0085,53.0085,1.81358,0,0
1,0,0.200000,512,0,8,53.9046,53.9046,1.83357,0,0
1,1,0.100000,64,1,4,53.3319,53.3319,1.90867,0,0
1,1,0.300000,16,1,4,87.6112,87.6112,1.94289,0,0
1,0,0.200000,256,0,4,52.3506,52.3506,1.81892,0,0
1,1,0.100000,512,0,4,53.1088,53.1088,1.81881,0,0
1,0,0.100000,512,1,8,52.8578,52.8578,1.91364,0,0
0,1,0.300000,256,1,4,134.702,134.702,1.89685,0,0
1,0,0.200000,16,0,8,84.0892,84.0892,1.83749,0,0
0,0,0.100000,256,0,4,160.974,160.974,1.82458,0,0
1,0,0.100000,16,0,8,83.9825,83.9825,1.82779,0,0
