SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,0.100000,32,1,8,64.0159,64.0159,1.89524,0,0
1,1,0.100000,64,1,8,53.7267,53.7267,1.90506,0,0
1,1,0.100000,16,1,8,88.8338,88.8338,1.90512,0,0
1,0,0.100000,32,1,8,63.4599,63.4599,1.90588,0,0
0,1,0.100000,32,1,8,131.452,131.452,1.89411,0,0
1,1,0.100000,32,0,8,63.656,63.656,1.79507,0,0
1,1,0.200000,32,1,8,64.3062,64.3062,1.90664,0,0
1,1,0.100000,128,1,8,49.3772,49.3772,1.89495,0,0
1,0,0.100000,64,1,8,53.705,53.705,1.89645,0,0
0,1,0.100000,64,1,8,127.085,127.085,1.88634,0,0
1,1,0.100000,64,0,8,53.4689,53.4689,1.79935,0,0
1,1,0.200000,64,1,8,53.4271,53.4271,1.90031,0,0
1,1,0.100000,256,1,8,49.1614,49.1614,1.89512,0,0
1,0,0.100000,128,1,8,49.2342,49.2342,1.88438,0,0
0,1,0.100000,128,1,8,128.653,128.653,1.88501,0,0
1,1,0.100000,128,0,8,59.5246,59.5246,1.79239,0,0
1,1,0.200000,128,1,8,49.3239,49.3239,1.90526,0,0
1,1,0.100000,512,1,8,50.3309,50.3309,1.89519,0,0
1,0,0.100000,256,1,8,51.3038,51.3038,1.90009,0,0
0,1,0.100000,256,1,8,134.133,134.133,1.87859,0,0
1,1,0.100000,256,0,8,51.7462,51.7462,1.7959,0,0
1,1,0.200000,256,1,8,48.999,48.999,1.8974,0,0
1,1,0.200000,512,1,8,50.2516,50.2516,1.8996,0,0
1,0,0.200000,256,1,8,51.3997,51.3997,1.91403,0,0
0,1,0.200000,256,1,8,134.372,134.372,1.88258,0,0
1,1,0.200000,256,0,8,51.5745,51.5745,1.79895,0,0
1,1,0.300000,256,1,8,48.8558,48.8558,1.90509,0,0
1,1,0.300000,512,1,8,50.2744,50.2744,1.90132,0,0
1,1,0.300000,128,1,8,49.4084,49.4084,1.90995,0,0
1,0,0.300000,256,1,8,51.3946,51.3946,1.89578,0,0
0,1,0.300000,256,1,8,134.215,134.215,1.87139,0,0
1,1,0.300000,256,0,8,51.8075,51.8075,1.79661,0,0
