SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,162.111,162.111,1.36921,0,0
0,0,0.100000,32,0,4,154.556,154.556,1.35055,0,0
0,0,0.100000,64,0,4,152.749,152.749,1.34861,0,0
0,0,0.100000,128,0,4,154.483,154.483,1.36023,0,0
0,0,0.100000,256,0,4,155.982,155.982,1.3653,0,0
0,0,0.100000,512,0,4,161.436,161.436,1.35048,0,0
0,1,0.100000,64,0,4,148.004,148.004,1.3614,0,0
0,1,0.100000,64,1,4,122.541,122.541,1.44365,0,0
0,1,0.200000,64,1,4,122.539,122.539,1.44968,0,0
0,1,0.300000,64,1,4,122.47,122.47,1.43937,0,0
1,1,0.300000,64,1,4,48.0155,48.0155,1.44642,0,0
1,1,0.300000,16,1,4,73.7319,73.7319,1.45811,0,0
1,1,0.300000,32,1,4,54.4887,54.4887,1.43813,0,0
1,1,0.300000,128,1,4,44.5307,44.5307,1.4582,0,0
1,1,0.300000,256,1,4,43.1551,43.1551,1.45225,0,0
1,1,0.300000,512,1,4,44.9489,44.9489,1.45577,0,0
1,0,0.300000,256,1,4,43.7377,43.7377,1.44741,0,0
1,1,0.300000,256,0,4,45.7911,45.7911,1.35984,0,0
1,1,0.100000,256,1,4,43.2145,43.2145,1.46204,0,0
1,1,0.200000,256,1,4,43.5042,43.5042,1.4514,0,0
0,1,0.300000,256,1,4,126.449,126.449,1.42957,0,0
