SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.200000,512,1,4,130.341,130.341,1.42466,0,0
0,0,0.200000,256,1,4,126.633,126.633,1.41875,0,0
0,1,0.200000,512,1,4,131.309,131.309,1.41996,0,0
1,0,0.200000,512,1,4,45.0787,45.0787,1.43923,0,0
0,0,0.200000,512,0,4,157.451,157.451,1.35484,0,0
0,0,0.300000,512,1,4,130.551,130.551,1.4272,0,0
0,0,0.100000,512,1,4,130.392,130.392,1.42211,0,0
1,0,0.200000,256,1,4,43.5532,43.5532,1.4414,0,0
1,1,0.200000,512,1,4,44.9771,44.9771,1.44225,0,0
1,0,0.200000,512,0,4,48.4922,48.4922,1.35778,0,0
1,0,0.300000,512,1,4,45.0725,45.0725,1.42969,0,0
1,0,0.100000,512,1,4,45.1168,45.1168,1.43842,0,0
1,0,0.200000,128,1,4,44.7029,44.7029,1.42383,0,0
1,1,0.200000,256,1,4,43.2207,43.2207,1.42958,0,0
1,0,0.200000,256,0,4,46.438,46.438,1.35432,0,0
1,0,0.300000,256,1,4,43.5483,43.5483,1.43477,0,0
1,0,0.100000,256,1,4,43.5464,43.5464,1.43782,0,0
1,1,0.200000,128,1,4,44.4579,44.4579,1.4407,0,0
0,1,0.200000,256,1,4,126.767,126.767,1.41613,0,0
1,1,0.200000,256,0,4,45.8344,45.8344,1.34473,0,0
1,1,0.300000,256,1,4,43.3476,43.3476,1.44349,0,0
1,1,0.100000,256,1,4,43.525,43.525,1.44511,0,0
