SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,171.658,171.658,1.81755,0,0
0,0,0.100000,32,0,4,161.278,161.278,1.79782,0,0
0,0,0.100000,64,0,4,157.995,157.995,1.79654,0,0
0,0,0.100000,128,0,4,159.007,159.007,1.7935,0,0
0,0,0.100000,256,0,4,159.75,159.75,1.79692,0,0
0,0,0.100000,512,0,4,163.402,163.402,1.79281,0,0
0,1,0.100000,64,0,4,158.259,158.259,1.80309,0,0
1,0,0.100000,64,0,4,54.2976,54.2976,1.80046,0,0
1,0,0.100000,64,1,4,53.0315,53.0315,1.90401,0,0
1,0,0.200000,64,1,4,52.823,52.823,1.89757,0,0
1,0,0.300000,64,1,4,52.9357,52.9357,1.89278,0,0
1,0,0.200000,16,1,4,88.2439,88.2439,1.90764,0,0
1,0,0.200000,32,1,4,63.4339,63.4339,1.9071,0,0
1,0,0.200000,128,1,4,49.0702,49.0702,1.9078,0,0
1,0,0.200000,256,1,4,51.4354,51.4354,1.9148,0,0
1,0,0.200000,512,1,4,52.6236,52.6236,1.89855,0,0
1,1,0.200000,128,1,4,49.2819,49.2819,1.90439,0,0
0,0,0.200000,128,1,4,128.948,128.948,1.88835,0,0
1,0,0.200000,128,0,4,52.4704,52.4704,1.80496,0,0
1,0,0.100000,128,1,4,48.9902,48.9902,1.90181,0,0
1,0,0.300000,128,1,4,49.0083,49.0083,1.90653,0,0
1,0,0.100000,16,1,4,88.1675,88.1675,1.91817,0,0
1,0,0.100000,32,1,4,63.2272,63.2272,1.9066,0,0
1,0,0.100000,256,1,4,51.4328,51.4328,1.9034,0,0
1,0,0.100000,512,1,4,52.8468,52.8468,1.90307,0,0
1,1,0.100000,128,1,4,49.3116,49.3116,1.9026,0,0
0,0,0.100000,128,1,4,128.798,128.798,1.88238,0,0
1,0,0.100000,128,0,4,52.5251,52.5251,1.80335,0,0
