SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.300000,32,1,8,130.794,130.794,1.89464,0,0
1,1,0.100000,32,1,4,66.6562,66.6562,1.90142,0,0
0,1,0.200000,256,1,4,134.017,134.017,1.89431,0,0
1,1,0.300000,64,1,8,53.2628,53.2628,1.90306,0,0
1,0,0.300000,32,1,4,63.6996,63.6996,1.89156,0,0
0,1,0.200000,512,0,8,162.332,162.332,1.80046,0,0
0,1,0.100000,64,1,8,127.231,127.231,1.88784,0,0
0,1,0.200000,16,0,8,172.655,172.655,1.80666,0,0
0,0,0.100000,16,1,4,146.606,146.606,1.89468,0,0
1,1,0.300000,256,0,4,51.9359,51.9359,1.79614,0,0
1,0,0.300000,32,0,4,64.7081,64.7081,1.79183,0,0
0,0,0.300000,256,0,8,160.459,160.459,1.79047,0,0
1,0,0.200000,32,0,4,63.9156,63.9156,1.80038,0,0
1,0,0.300000,16,0,4,84.2101,84.2101,1.82393,0,0
0,0,0.100000,128,0,4,159.614,159.614,1.79454,0,0
1,1,0.300000,128,1,4,49.4866,49.4866,1.89142,0,0
1,1,0.100000,32,0,4,63.179,63.179,1.80294,0,0
0,0,0.100000,256,0,4,160.067,160.067,1.79272,0,0
0,1,0.300000,32,1,8,130.122,130.122,1.87902,0,0
1,0,0.100000,512,1,8,52.5475,52.5475,1.90199,0,0
0,0,0.300000,16,0,4,173.171,173.171,1.81499,0,0
1,0,0.300000,64,0,8,54.355,54.355,1.79847,0,0
0,1,0.300000,512,1,4,138.134,138.134,1.87484,0,0
0,1,0.300000,64,1,4,128.381,128.381,1.87356,0,0
0,1,0.100000,512,1,8,138.428,138.428,1.87737,0,0
1,1,0.100000,16,0,8,84.4882,84.4882,1.80715,0,0
1,1,0.200000,256,0,8,51.8238,51.8238,1.80268,0,0
1,1,0.200000,16,0,8,83.2731,83.2731,1.82189,0,0
1,0,0.100000,256,1,8,51.5379,51.5379,1.90431,0,0
0,0,0.200000,32,1,8,131.075,131.075,1.87586,0,0
0,1,0.200000,32,1,8,129.662,129.662,1.8958,0,0
0,0,0.300000,256,1,4,133.841,133.841,1.89083,0,0
0,1,0.300000,16,0,4,173.043,173.043,1.81033,0,0
0,1,0.100000,16,0,8,173.135,173.135,1.80907,0,0
0,0,0.200000,64,1,8,127.501,127.501,1.8844,0,0
1,1,0.300000,16,0,4,83.4328,83.4328,1.80749,0,0
0,0,0.200000,256,1,4,133.012,133.012,1.88277,0,0
0,0,0.200000,64,0,4,158.054,158.054,1.79129,0,0
1,1,0.200000,256,1,4,48.9976,48.9976,1.89157,0,0
1,0,0.200000,16,1,8,90.1578,90.1578,1.90233,0,0
0,1,0.100000,256,1,8,133.814,133.814,1.87953,0,0
1,1,0.100000,256,0,4,51.8217,51.8217,1.80635,0,0
1,1,0.100000,512,0,8,53.3323,53.3323,1.80014,0,0
1,1,0.300000,512,0,4,53.2989,53.2989,1.80689,0,0
0,1,0.200000,128,0,4,159.334,159.334,1.80374,0,0
0,1,0.100000,512,0,8,161.515,161.515,1.80507,0,0
0,1,0.300000,32,0,8,161.07,161.07,1.79883,0,0
1,0,0.300000,128,1,8,49.0476,49.0476,1.89729,0,0
0,1,0.200000,32,0,8,161.06,161.06,1.79825,0,0
0,0,0.100000,64,1,8,127.451,127.451,1.8859,0,0
1,1,0.100000,128,1,4,49.5025,49.5025,1.90104,0,0
0,1,0.200000,16,1,8,145.651,145.651,1.89282,0,0
0,1,0.200000,64,1,8,126.894,126.894,1.88311,0,0
0,0,0.100000,256,1,8,133.82,133.82,1.88141,0,0
1,0,0.100000,128,0,4,52.5679,52.5679,1.79868,0,0
1,1,0.300000,16,1,4,87.8313,87.8313,1.91096,0,0
1,1,0.200000,64,1,8,53.2991,53.2991,1.88743,0,0
0,0,0.200000,512,0,8,161.591,161.591,1.79483,0,0
1,0,0.300000,16,1,8,88.0229,88.0229,1.90582,0,0
1,0,0.200000,512,0,8,53.724,53.724,1.79426,0,0
1,0,0.100000,64,0,4,54.3538,54.3538,1.79714,0,0
0,1,0.300000,128,0,4,159.903,159.903,1.78754,0,0
1,1,0.200000,512,1,8,50.4272,50.4272,1.89217,0,0
1,1,0.300000,32,1,8,64.4761,64.4761,1.89822,0,0
1,0,0.200000,64,0,8,54.3331,54.3331,1.78941,0,0
0,0,0.200000,32,0,4,161.772,161.772,1.79085,0,0
1,1,0.200000,32,1,8,65.6847,65.6847,1.90597,0,0
1,0,0.300000,128,0,8,52.4692,52.4692,1.81844,0,0
1,1,0.300000,512,1,4,50.2767,50.2767,1.90401,0,0
1,0,0.100000,32,0,8,64.0848,64.0848,1.78258,0,0
1,0,0.200000,128,0,4,52.5405,52.5405,1.79671,0,0
1,0,0.300000,512,0,4,53.6574,53.6574,1.80404,0,0
