SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,161.133,161.133,1.34626,0,0
0,0,0.100000,32,0,4,154.043,154.043,1.33387,0,0
0,0,0.100000,64,0,4,153.01,153.01,1.35201,0,0
0,0,0.100000,128,0,4,154.956,154.956,1.34084,0,0
0,0,0.100000,256,0,4,155.244,155.244,1.35908,0,0
0,0,0.100000,512,0,4,157.5,157.5,1.34891,0,0
0,1,0.100000,64,0,4,148.723,148.723,1.33564,0,0
1,1,0.100000,64,0,4,46.6529,46.6529,1.34877,0,0
1,1,0.100000,64,1,4,48.3605,48.3605,1.43657,0,0
1,1,0.200000,64,0,4,46.6511,46.6511,1.34607,0,0
1,1,0.300000,64,0,4,46.6844,46.6844,1.34227,0,0
1,1,0.200000,16,0,4,67.0534,67.0534,1.35923,0,0
1,1,0.200000,32,0,4,52.541,52.541,1.33125,0,0
1,1,0.200000,128,0,4,46.1479,46.1479,1.34095,0,0
1,1,0.200000,256,0,4,45.8937,45.8937,1.34655,0,0
1,1,0.200000,512,0,4,47.9018,47.9018,1.3562,0,0
1,0,0.200000,256,0,4,46.4676,46.4676,1.35031,0,0
0,1,0.200000,256,0,4,151.446,151.446,1.34485,0,0
1,1,0.200000,256,1,4,43.2685,43.2685,1.43335,0,0
1,1,0.100000,256,1,4,43.2115,43.2115,1.43316,0,0
1,1,0.300000,256,1,4,43.2768,43.2768,1.44227,0,0
1,1,0.100000,16,1,4,74.1132,74.1132,1.44719,0,0
1,1,0.100000,32,1,4,55.0477,55.0477,1.4279,0,0
1,1,0.100000,128,1,4,44.6151,44.6151,1.44328,0,0
1,1,0.100000,512,1,4,45.0581,45.0581,1.44113,0,0
1,0,0.100000,256,1,4,43.6228,43.6228,1.43697,0,0
0,1,0.100000,256,1,4,126.82,126.82,1.42888,0,0
1,1,0.100000,256,0,4,45.8788,45.8788,1.36236,0,0
