SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,0,0.200000,128,0,8,47.0321,47.0321,1.35923,0,0
0,1,0.100000,64,1,4,122.98,122.98,1.4154,0,0
0,0,0.300000,128,0,4,155.567,155.567,1.33347,0,0
1,0,0.100000,256,0,8,46.4129,46.4129,1.34824,0,0
0,1,0.200000,128,0,4,150.7,150.7,1.34521,0,0
1,1,0.100000,256,1,4,43.4292,43.4292,1.43327,0,0
1,1,0.300000,128,1,8,44.457,44.457,1.43328,0,0
0,1,0.100000,32,1,8,122.668,122.668,1.41662,0,0
0,0,0.200000,128,0,8,154.53,154.53,1.35106,0,0
1,0,0.300000,256,1,8,43.7562,43.7562,1.43756,0,0
0,0,0.200000,512,0,8,156.97,156.97,1.34399,0,0
1,0,0.100000,32,1,4,55.1135,55.1135,1.43144,0,0
0,0,0.200000,64,0,4,152.568,152.568,1.34722,0,0
0,1,0.200000,512,1,4,132.109,132.109,1.42742,0,0
0,1,0.100000,16,1,8,137.616,137.616,1.43251,0,0
1,1,0.300000,64,1,8,48.1877,48.1877,1.43192,0,0
0,1,0.300000,256,0,4,151.122,151.122,1.3341,0,0
1,1,0.100000,512,1,8,44.9937,44.9937,1.4329,0,0
0,0,0.200000,64,1,4,122.09,122.09,1.4193,0,0
1,1,0.200000,128,1,4,44.5744,44.5744,1.43782,0,0
0,0,0.300000,16,1,4,135.636,135.636,1.42562,0,0
1,1,0.100000,128,0,4,46.034,46.034,1.34651,0,0
0,1,0.300000,16,0,8,158.392,158.392,1.35606,0,0
0,0,0.300000,16,0,8,162.012,162.012,1.36341,0,0
0,1,0.100000,256,0,8,151.057,151.057,1.34843,0,0
1,0,0.200000,32,0,4,52.3829,52.3829,1.33723,0,0
0,0,0.300000,128,1,4,123.19,123.19,1.42101,0,0
0,1,0.200000,64,0,4,148.201,148.201,1.35062,0,0
0,0,0.300000,512,1,8,132.259,132.259,1.42207,0,0
1,1,0.100000,512,0,8,47.8371,47.8371,1.35928,0,0
0,0,0.100000,32,1,4,121.311,121.311,1.40578,0,0
1,0,0.100000,512,0,8,48.1847,48.1847,1.3413,0,0
0,1,0.100000,64,0,4,148.502,148.502,1.34555,0,0
1,1,0.300000,32,0,8,52.8549,52.8549,1.33719,0,0
0,1,0.200000,16,0,8,156.47,156.47,1.35919,0,0
0,1,0.300000,128,0,8,150.657,150.657,1.35226,0,0
0,1,0.200000,256,0,4,151.255,151.255,1.3532,0,0
1,1,0.300000,256,1,4,43.4481,43.4481,1.4298,0,0
0,0,0.300000,256,0,4,154.97,154.97,1.34605,0,0
0,0,0.200000,32,1,4,121.513,121.513,1.41649,0,0
0,0,0.300000,32,1,4,121.389,121.389,1.41863,0,0
0,1,0.100000,256,1,4,126.933,126.933,1.4294,0,0
1,0,0.300000,32,0,4,52.4147,52.4147,1.34447,0,0
0,1,0.200000,32,1,8,123.232,123.232,1.40677,0,0
1,1,0.100000,128,1,4,44.5949,44.5949,1.43945,0,0
1,0,0.100000,16,1,4,73.4354,73.4354,1.43745,0,0
0,0,0.200000,512,1,4,130.933,130.933,1.41135,0,0
0,1,0.200000,64,1,4,122.495,122.495,1.42452,0,0
0,0,0.100000,128,1,4,123.431,123.431,1.41566,0,0
0,1,0.200000,128,1,8,124.439,124.439,1.41663,0,0
1,1,0.100000,64,1,4,48.2393,48.2393,1.43135,0,0
0,1,0.100000,128,0,4,150.563,150.563,1.34064,0,0
1,1,0.300000,64,0,8,46.3338,46.3338,1.34498,0,0
1,1,0.100000,16,0,8,67.2421,67.2421,1.35015,0,0
1,0,0.100000,128,1,8,44.6682,44.6682,1.43443,0,0
0,1,0.100000,128,1,4,123.845,123.845,1.42939,0,0
0,1,0.300000,16,1,8,137.778,137.778,1.42454,0,0
0,0,0.100000,32,0,8,153.943,153.943,1.335,0,0
1,0,0.200000,16,1,4,73.4188,73.4188,1.44879,0,0
0,0,0.200000,16,1,4,135.456,135.456,1.43531,0,0
1,0,0.300000,32,1,8,55.1257,55.1257,1.43078,0,0
0,1,0.300000,512,1,4,131.957,131.957,1.42968,0,0
1,1,0.100000,256,0,8,45.7218,45.7218,1.34433,0,0
1,1,0.200000,128,0,8,46.0085,46.0085,1.35693,0,0
1,1,0.200000,512,1,8,45.0164,45.0164,1.43826,0,0
1,0,0.300000,64,0,4,46.6086,46.6086,1.34711,0,0
0,1,0.100000,32,0,8,151.562,151.562,1.32869,0,0
0,0,0.300000,64,1,8,122.315,122.315,1.42374,0,0
0,1,0.200000,16,1,8,138.288,138.288,1.43364,0,0
0,0,0.200000,32,0,8,153.665,153.665,1.33824,0,0
0,1,0.100000,512,0,4,152.962,152.962,1.3533,0,0
1,0,0.200000,16,0,4,67.4401,67.4401,1.36264,0,0
