SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,161.659,161.659,1.355,0,0
0,0,0.100000,32,0,4,155.01,155.01,1.33579,0,0
0,1,0.100000,16,0,4,159.929,159.929,1.35449,0,0
1,0,0.100000,16,0,4,68.5707,68.5707,1.34147,0,0
0,0,0.100000,16,1,4,135.758,135.758,1.42524,0,0
0,0,0.200000,16,0,4,160.629,160.629,1.34863,0,0
1,0,0.100000,32,0,4,52.6122,52.6122,1.33626,0,0
1,1,0.100000,16,0,4,67.0793,67.0793,1.36177,0,0
1,0,0.100000,16,1,4,73.2517,73.2517,1.4383,0,0
1,0,0.200000,16,0,4,67.6732,67.6732,1.3529,0,0
1,0,0.100000,64,0,4,46.5254,46.5254,1.34828,0,0
1,1,0.100000,32,0,4,52.4463,52.4463,1.3462,0,0
1,0,0.100000,32,1,4,55.2341,55.2341,1.42723,0,0
1,0,0.200000,32,0,4,52.384,52.384,1.33764,0,0
1,0,0.100000,128,0,4,46.6943,46.6943,1.35161,0,0
1,1,0.100000,64,0,4,46.3321,46.3321,1.34098,0,0
0,0,0.100000,64,0,4,152.116,152.116,1.36083,0,0
1,0,0.100000,64,1,4,48.7423,48.7423,1.42853,0,0
1,0,0.200000,64,0,4,46.4625,46.4625,1.33957,0,0
1,1,0.100000,128,0,4,46.0614,46.0614,1.34225,0,0
0,1,0.100000,64,0,4,147.937,147.937,1.34515,0,0
1,1,0.100000,64,1,4,48.1018,48.1018,1.43479,0,0
1,1,0.200000,64,0,4,46.2404,46.2404,1.34053,0,0
1,1,0.100000,256,0,4,45.8051,45.8051,1.34512,0,0
0,1,0.100000,128,0,4,150.814,150.814,1.34217,0,0
1,1,0.100000,128,1,4,44.7087,44.7087,1.43357,0,0
1,1,0.200000,128,0,4,46.2022,46.2022,1.34843,0,0
1,1,0.100000,256,1,4,43.1973,43.1973,1.43116,0,0
1,0,0.100000,128,1,4,44.9851,44.9851,1.44037,0,0
0,1,0.100000,128,1,4,123.988,123.988,1.41306,0,0
1,1,0.200000,128,1,4,44.3555,44.3555,1.4347,0,0
1,1,0.100000,512,1,4,44.7079,44.7079,1.43345,0,0
1,0,0.100000,256,1,4,44.1431,44.1431,1.42733,0,0
0,1,0.100000,256,1,4,126.853,126.853,1.41936,0,0
1,1,0.200000,256,1,4,43.2687,43.2687,1.42941,0,0
