SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,8,16.29,16.29,2.04385,0,0
0,0,0.100000,32,0,8,15.9021,15.9021,1.96287,0,0
0,0,0.100000,64,0,8,18.0414,18.0414,1.99631,0,0
0,0,0.100000,128,0,8,15.6751,15.6751,2.00755,0,0
0,0,0.100000,256,0,8,13.4878,13.4878,1.98245,0,0
0,0,0.100000,512,0,8,13.2179,13.2179,1.98213,0,0
0,1,0.100000,512,0,8,13.2808,13.2808,2.03986,0,0
1,0,0.100000,512,0,8,5.60885,5.60885,2.01213,0,0
1,0,0.100000,512,1,8,5.58782,5.58782,2.09148,0,0
1,0,0.200000,512,1,8,5.986,5.986,2.05624,0,0
1,0,0.300000,512,1,8,5.68915,5.68915,2.08623,0,0
1,0,0.100000,16,1,8,10.4415,10.4415,2.13692,0,0
1,0,0.100000,32,1,8,9.58787,9.58787,2.0954,0,0
1,0,0.100000,64,1,8,8.63046,8.63046,2.08764,0,0
1,0,0.100000,128,1,8,6.8058,6.8058,2.04724,0,0
1,0,0.100000,256,1,8,6.30014,6.30014,2.09695,0,0
1,1,0.100000,512,1,8,5.81635,5.81635,2.1151,0,0
0,0,0.100000,512,1,8,12.7046,12.7046,2.05839,0,0
