SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,0.300000,512,1,8,5.92308,5.92308,2.1399,0,0
0,1,0.100000,256,0,4,12.9191,12.9191,1.98594,0,0
1,0,0.100000,32,0,8,9.14549,9.14549,2.00199,0,0
0,0,0.100000,128,1,8,12.2594,12.2594,2.06295,0,0
1,0,0.300000,128,1,8,6.41661,6.41661,2.06061,0,0
1,1,0.100000,512,0,4,5.74615,5.74615,1.99431,0,0
1,0,0.100000,512,1,8,5.67335,5.67335,2.09365,0,0
1,1,0.100000,512,1,8,5.87759,5.87759,2.06079,0,0
0,0,0.100000,64,0,4,14.5446,14.5446,2.01103,0,0
0,0,0.300000,64,1,4,13.3309,13.3309,2.08408,0,0
1,0,0.100000,64,0,4,7.84744,7.84744,1.99375,0,0
1,0,0.300000,512,1,4,5.9577,5.9577,2.09454,0,0
0,1,0.200000,32,1,4,14.5001,14.5001,2.0776,0,0
0,1,0.300000,64,1,8,13.0578,13.0578,2.08558,0,0
1,0,0.300000,32,0,8,9.05961,9.05961,2.00924,0,0
1,1,0.100000,256,1,4,5.75595,5.75595,2.09177,0,0
0,0,0.300000,16,1,4,15.7588,15.7588,2.06537,0,0
1,1,0.200000,32,1,4,8.87127,8.87127,2.12004,0,0
0,1,0.200000,256,0,4,12.8659,12.8659,1.9632,0,0
0,1,0.100000,256,1,4,12.4122,12.4122,2.09217,0,0
1,1,0.200000,32,0,8,9.45398,9.45398,2.01168,0,0
0,1,0.100000,32,0,4,15.6158,15.6158,1.99971,0,0
1,1,0.300000,128,0,4,6.78584,6.78584,2.03914,0,0
1,1,0.100000,16,1,8,11.5073,11.5073,2.10091,0,0
0,1,0.300000,32,1,4,14.4706,14.4706,2.06916,0,0
1,1,0.100000,32,1,4,9.2144,9.2144,2.08183,0,0
0,0,0.300000,256,0,8,13.4615,13.4615,1.98618,0,0
1,0,0.300000,128,0,4,6.52869,6.52869,1.9827,0,0
1,1,0.100000,256,0,8,6.31253,6.31253,1.99376,0,0
1,0,0.300000,256,0,4,6.31881,6.31881,1.98233,0,0
1,0,0.300000,256,1,8,6.12139,6.12139,2.08232,0,0
0,0,0.100000,256,0,8,13.2104,13.2104,1.98606,0,0
1,1,0.200000,128,0,8,6.76385,6.76385,2.02399,0,0
0,1,0.200000,32,0,8,15.6173,15.6173,2.033,0,0
0,0,0.300000,16,0,8,16.5253,16.5253,2.04733,0,0
0,1,0.200000,128,0,4,13.9598,13.9598,1.9847,0,0
0,0,0.200000,512,1,8,13.05,13.05,2.09281,0,0
0,1,0.300000,64,0,8,14.4536,14.4536,1.99046,0,0
0,1,0.200000,64,1,4,13.3529,13.3529,2.11186,0,0
0,0,0.200000,512,0,4,13.3404,13.3404,1.98109,0,0
0,0,0.100000,64,1,4,13.1571,13.1571,2.07822,0,0
0,0,0.200000,16,1,8,17.5534,17.5534,2.08163,0,0
0,1,0.100000,64,0,4,14.9162,14.9162,1.99004,0,0
0,1,0.300000,512,1,8,12.8517,12.8517,2.07992,0,0
0,0,0.200000,16,0,8,17.7201,17.7201,1.99179,0,0
1,1,0.200000,16,0,8,11.6534,11.6534,2.01,0,0
1,1,0.200000,128,1,8,6.3715,6.3715,2.09951,0,0
0,0,0.200000,64,1,4,13.0818,13.0818,2.07372,0,0
1,0,0.200000,128,1,8,6.15565,6.15565,2.08919,0,0
0,1,0.300000,256,0,4,13.0843,13.0843,1.9613,0,0
0,1,0.200000,512,0,4,13.4081,13.4081,1.99619,0,0
0,0,0.200000,32,0,4,16.2934,16.2934,1.98224,0,0
1,1,0.300000,16,0,4,11.7197,11.7197,2.02656,0,0
0,0,0.100000,256,1,4,12.5141,12.5141,2.04601,0,0
1,0,0.200000,256,0,4,5.98435,5.98435,2.0141,0,0
0,0,0.200000,64,0,8,14.7652,14.7652,2.01146,0,0
0,0,0.100000,32,0,8,16.1112,16.1112,1.99631,0,0
1,0,0.100000,256,0,4,6.03005,6.03005,2.0207,0,0
1,0,0.200000,32,1,4,9.0373,9.0373,2.08218,0,0
1,0,0.100000,512,0,4,5.63913,5.63913,2.0738,0,0
0,1,0.300000,128,1,8,12.7439,12.7439,2.08837,0,0
1,0,0.200000,16,1,4,11.2066,11.2066,2.11464,0,0
1,1,0.100000,16,0,4,11.802,11.802,2.00558,0,0
0,0,0.300000,128,0,8,13.7301,13.7301,2.01875,0,0
1,0,0.200000,32,0,8,9.22441,9.22441,1.96899,0,0
1,1,0.300000,128,1,4,6.51138,6.51138,2.08545,0,0
1,1,0.100000,64,1,8,7.66814,7.66814,2.04852,0,0
1,1,0.300000,64,1,8,7.81484,7.81484,2.08396,0,0
0,1,0.200000,16,0,4,17.5562,17.5562,2.02552,0,0
