SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,1,0.100000,64,1,4,13.2756,13.2756,2.11139,0,0
0,1,0.100000,128,1,4,12.5991,12.5991,2.06117,0,0
0,1,0.100000,32,1,4,14.5372,14.5372,2.05851,0,0
0,0,0.100000,64,1,4,13.3961,13.3961,2.06451,0,0
1,1,0.100000,64,1,4,7.55514,7.55514,2.135,0,0
0,1,0.100000,64,0,4,14.2608,14.2608,2.05713,0,0
0,1,0.200000,64,1,4,13.1109,13.1109,2.0625,0,0
1,1,0.100000,128,1,4,6.4969,6.4969,2.08895,0,0
1,1,0.100000,32,1,4,9.28633,9.28633,2.09709,0,0
1,0,0.100000,64,1,4,7.44679,7.44679,2.10732,0,0
1,1,0.100000,64,0,4,7.87898,7.87898,2.00653,0,0
1,1,0.200000,64,1,4,7.60846,7.60846,2.11856,0,0
1,1,0.100000,256,1,4,5.88644,5.88644,2.09521,0,0
1,0,0.100000,128,1,4,6.19984,6.19984,2.09689,0,0
1,1,0.100000,128,0,4,6.71066,6.71066,1.99517,0,0
1,1,0.200000,128,1,4,6.41424,6.41424,2.08786,0,0
1,1,0.100000,512,1,4,5.69206,5.69206,2.12045,0,0
1,0,0.100000,256,1,4,6.08281,6.08281,2.14432,0,0
0,1,0.100000,256,1,4,12.2042,12.2042,2.03266,0,0
1,1,0.100000,256,0,4,6.14212,6.14212,2.02546,0,0
1,1,0.200000,256,1,4,5.94859,5.94859,2.06379,0,0
1,0,0.100000,512,1,4,5.98905,5.98905,2.1244,0,0
0,1,0.100000,512,1,4,12.6169,12.6169,2.08482,0,0
1,1,0.100000,512,0,4,5.86325,5.86325,1.98716,0,0
1,1,0.200000,512,1,4,5.77281,5.77281,2.09881,0,0
