SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,1,0.100000,16,1,4,10.1314,10.1314,1.6704,0,0
0,1,0.100000,32,1,4,11.8301,11.8301,1.71505,0,0
0,1,0.100000,64,1,4,11.2891,11.2891,1.67867,0,0
0,1,0.100000,128,1,4,10.3053,10.3053,1.67285,0,0
0,1,0.100000,256,1,4,10.1958,10.1958,1.65848,0,0
0,1,0.100000,512,1,4,10.5739,10.5739,1.67352,0,0
0,0,0.100000,16,1,4,9.98656,9.98656,1.62763,0,0
1,0,0.100000,16,1,4,4.87653,4.87653,1.63911,0,0
1,0,0.100000,16,0,4,4.15017,4.15017,1.58668,0,0
1,0,0.200000,16,0,4,4.15461,4.15461,1.60772,0,0
1,0,0.300000,16,0,4,4.38315,4.38315,1.63778,0,0
1,0,0.100000,32,0,4,5.1352,5.1352,1.62418,0,0
1,0,0.100000,64,0,4,4.69191,4.69191,1.62949,0,0
1,0,0.100000,128,0,4,4.27938,4.27938,1.57527,0,0
1,0,0.100000,256,0,4,3.9555,3.9555,1.54441,0,0
1,0,0.100000,512,0,4,3.831,3.831,1.5842,0,0
1,1,0.100000,512,0,4,3.83523,3.83523,1.62958,0,0
0,0,0.100000,512,0,4,11.6454,11.6454,1.54497,0,0
1,0,0.100000,512,1,4,3.88866,3.88866,1.66344,0,0
1,0,0.200000,512,0,4,3.83305,3.83305,1.5703,0,0
1,0,0.300000,512,0,4,3.83412,3.83412,1.59291,0,0
