SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,128,1,8,9.99205,9.99205,1.65621,0,0
0,0,0.100000,256,1,8,10.0723,10.0723,1.67407,0,0
0,0,0.100000,64,1,8,9.75084,9.75084,1.64542,0,0
0,1,0.100000,128,1,8,10.0623,10.0623,1.68914,0,0
1,0,0.100000,128,1,8,4.01918,4.01918,1.65939,0,0
0,0,0.100000,128,0,8,11.3796,11.3796,1.5727,0,0
0,0,0.200000,128,1,8,9.93471,9.93471,1.66235,0,0
1,0,0.100000,256,1,8,3.85338,3.85338,1.67152,0,0
1,0,0.100000,64,1,8,4.09397,4.09397,1.64932,0,0
1,1,0.100000,128,1,8,3.92652,3.92652,1.6367,0,0
1,0,0.100000,128,0,8,3.92538,3.92538,1.63799,0,0
1,0,0.200000,128,1,8,4.00417,4.00417,1.67168,0,0
1,0,0.100000,512,1,8,3.95966,3.95966,1.62012,0,0
1,1,0.100000,256,1,8,3.76289,3.76289,1.66975,0,0
1,0,0.100000,256,0,8,3.72787,3.72787,1.59171,0,0
1,0,0.200000,256,1,8,3.7902,3.7902,1.6655,0,0
1,0,0.100000,512,0,8,3.7829,3.7829,1.58853,0,0
1,1,0.100000,256,0,8,3.6646,3.6646,1.60205,0,0
0,0,0.100000,256,0,8,11.0469,11.0469,1.56395,0,0
1,0,0.200000,256,0,8,3.73968,3.73968,1.54922,0,0
1,1,0.100000,512,0,8,3.71911,3.71911,1.60116,0,0
1,1,0.100000,128,0,8,3.90971,3.90971,1.56246,0,0
0,1,0.100000,256,0,8,10.9834,10.9834,1.60564,0,0
1,1,0.200000,256,0,8,3.67558,3.67558,1.61659,0,0
