SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,18.0354,18.0354,2.19814,0,0
0,0,0.100000,32,0,4,15.9036,15.9036,2.04401,0,0
0,0,0.100000,64,0,4,18.0598,18.0598,2.03212,0,0
0,0,0.100000,128,0,4,17.3117,17.3117,2.01556,0,0
0,0,0.100000,256,0,4,14.3513,14.3513,2.06792,0,0
0,0,0.100000,512,0,4,13.6207,13.6207,2.03314,0,0
0,1,0.100000,512,0,4,13.3904,13.3904,2.03185,0,0
1,1,0.100000,512,0,4,5.87225,5.87225,2.00117,0,0
1,1,0.100000,512,1,4,5.64727,5.64727,2.1404,0,0
1,1,0.200000,512,1,4,5.69683,5.69683,2.14731,0,0
1,1,0.300000,512,1,4,5.62798,5.62798,2.11162,0,0
1,1,0.300000,16,1,4,13.5623,13.5623,2.13537,0,0
1,1,0.300000,32,1,4,9.31092,9.31092,2.12446,0,0
1,1,0.300000,64,1,4,8.35729,8.35729,2.11213,0,0
1,1,0.300000,128,1,4,8.44524,8.44524,2.13034,0,0
1,1,0.300000,256,1,4,6.52336,6.52336,2.12595,0,0
1,0,0.300000,512,1,4,5.73246,5.73246,2.08837,0,0
0,1,0.300000,512,1,4,12.8636,12.8636,2.12154,0,0
1,1,0.300000,512,0,4,5.8425,5.8425,2.05321,0,0
