SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,1,0.300000,32,0,4,12.4457,12.4457,1.68984,0,0
0,1,0.200000,16,1,4,10.0908,10.0908,1.71221,0,0
1,0,0.200000,16,1,8,4.69548,4.69548,1.69242,0,0
0,0,0.100000,256,0,4,11.5601,11.5601,1.64084,0,0
0,1,0.100000,64,0,8,13.2317,13.2317,1.62436,0,0
1,0,0.200000,256,1,8,3.93963,3.93963,1.73766,0,0
0,1,0.300000,256,0,8,11.5564,11.5564,1.62822,0,0
1,1,0.300000,256,0,8,3.87,3.87,1.65376,0,0
0,0,0.100000,16,1,4,9.84529,9.84529,1.65134,0,0
0,1,0.100000,256,1,4,10.1659,10.1659,1.7035,0,0
0,1,0.300000,128,1,8,10.2061,10.2061,1.66853,0,0
1,0,0.200000,32,1,4,5.43997,5.43997,1.72594,0,0
1,0,0.100000,128,1,8,4.27236,4.27236,1.66038,0,0
1,0,0.100000,16,0,8,4.08115,4.08115,1.66978,0,0
0,1,0.300000,512,1,4,10.5199,10.5199,1.67577,0,0
0,0,0.100000,512,0,4,11.7017,11.7017,1.63256,0,0
1,1,0.200000,16,1,4,4.74681,4.74681,1.71102,0,0
0,0,0.200000,32,0,4,12.4355,12.4355,1.65302,0,0
0,1,0.300000,512,0,4,11.6495,11.6495,1.63942,0,0
0,0,0.100000,256,1,8,10.1505,10.1505,1.71109,0,0
0,1,0.300000,16,1,4,10.1924,10.1924,1.69308,0,0
0,0,0.200000,128,0,4,12.311,12.311,1.63559,0,0
0,1,0.100000,32,1,8,11.7303,11.7303,1.63283,0,0
1,0,0.300000,256,1,8,3.89864,3.89864,1.66862,0,0
0,1,0.100000,16,1,4,10.3946,10.3946,1.67616,0,0
1,0,0.100000,32,1,4,5.47678,5.47678,1.67459,0,0
0,1,0.100000,64,1,8,11.335,11.335,1.76639,0,0
0,0,0.200000,16,1,8,10.4307,10.4307,1.74366,0,0
0,1,0.100000,128,1,8,10.3293,10.3293,1.66806,0,0
0,0,0.200000,64,0,8,13.463,13.463,1.58799,0,0
1,0,0.300000,16,1,4,4.73152,4.73152,1.74066,0,0
1,1,0.300000,512,0,8,4.05407,4.05407,1.61807,0,0
1,1,0.300000,512,1,8,3.82137,3.82137,1.68112,0,0
1,1,0.200000,256,0,8,3.87093,3.87093,1.57593,0,0
1,0,0.200000,512,0,8,3.97667,3.97667,1.62624,0,0
0,1,0.200000,32,1,4,11.8731,11.8731,1.70009,0,0
1,0,0.300000,128,1,4,4.19733,4.19733,1.90855,0,0
1,0,0.100000,512,0,8,4.04101,4.04101,1.60718,0,0
0,1,0.200000,32,0,4,12.3844,12.3844,1.5807,0,0
0,1,0.200000,256,0,8,11.4561,11.4561,1.62041,0,0
0,1,0.300000,64,0,4,13.2097,13.2097,1.61386,0,0
0,1,0.200000,64,1,4,11.3143,11.3143,1.70785,0,0
1,0,0.300000,512,0,8,4.10777,4.10777,1.63782,0,0
1,1,0.300000,64,1,4,4.77756,4.77756,1.68202,0,0
0,1,0.100000,256,0,8,11.8037,11.8037,1.60975,0,0
0,0,0.100000,128,0,4,12.5227,12.5227,1.64829,0,0
1,1,0.100000,16,1,8,4.96188,4.96188,1.72398,0,0
1,1,0.100000,64,0,4,4.62782,4.62782,1.66084,0,0
0,1,0.100000,16,0,4,10.6215,10.6215,1.6276,0,0
1,0,0.200000,32,0,4,4.82689,4.82689,1.64395,0,0
0,1,0.200000,512,0,4,11.868,11.868,1.6726,0,0
1,1,0.300000,256,1,8,3.89213,3.89213,1.72504,0,0
1,0,0.300000,512,1,8,4.01901,4.01901,1.68226,0,0
0,0,0.300000,256,1,4,10.137,10.137,1.67052,0,0
0,1,0.100000,512,0,8,11.967,11.967,1.6719,0,0
0,0,0.100000,512,1,4,10.8976,10.8976,1.70641,0,0
0,1,0.200000,256,1,4,10.2138,10.2138,1.72708,0,0
1,0,0.200000,128,0,8,4.40052,4.40052,1.59829,0,0
0,0,0.100000,128,1,4,10.3857,10.3857,1.6671,0,0
1,1,0.300000,128,1,4,4.19933,4.19933,1.72568,0,0
1,1,0.200000,32,0,4,4.67687,4.67687,1.61867,0,0
1,1,0.100000,512,0,8,3.86015,3.86015,1.59676,0,0
1,0,0.300000,32,0,4,4.88661,4.88661,1.62346,0,0
1,0,0.100000,256,1,4,4.08079,4.08079,1.70057,0,0
1,0,0.100000,64,1,8,4.84293,4.84293,1.72786,0,0
1,1,0.300000,16,1,8,4.73225,4.73225,1.72571,0,0
1,1,0.200000,64,0,8,4.57684,4.57684,1.63583,0,0
0,1,0.100000,512,1,4,10.5601,10.5601,1.67313,0,0
0,0,0.300000,64,1,8,11.4589,11.4589,1.67166,0,0
1,0,0.300000,16,0,8,4.22679,4.22679,1.61451,0,0
0,1,0.300000,128,0,4,12.2804,12.2804,1.61711,0,0
0,0,0.300000,32,0,8,12.4187,12.4187,1.60972,0,0
1,0,0.300000,32,1,8,5.4552,5.4552,1.71612,0,0
1,0,0.100000,32,0,8,4.81178,4.81178,1.64734,0,0
