SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,25.0335,25.0335,1.87237,0,0
0,0,0.100000,32,0,4,24.412,24.412,1.84503,0,0
0,0,0.100000,64,0,4,23.1894,23.1894,1.86608,0,0
0,0,0.100000,128,0,4,22.4312,22.4312,1.85708,0,0
0,0,0.100000,256,0,4,22.6375,22.6375,1.85398,0,0
0,0,0.100000,512,0,4,23.4596,23.4596,1.8552,0,0
0,1,0.100000,128,0,4,22.2837,22.2837,1.84502,0,0
0,1,0.100000,128,1,4,20.5807,20.5807,1.92488,0,0
0,1,0.200000,128,1,4,20.8686,20.8686,1.92495,0,0
0,1,0.300000,128,1,4,20.9596,20.9596,1.94749,0,0
1,1,0.100000,128,1,4,9.834,9.834,1.93303,0,0
1,1,0.100000,16,1,4,16.2151,16.2151,1.98381,0,0
1,1,0.100000,32,1,4,12.0512,12.0512,1.9597,0,0
1,1,0.100000,64,1,4,10.6487,10.6487,1.93622,0,0
1,1,0.100000,256,1,4,9.57954,9.57954,1.94905,0,0
1,1,0.100000,512,1,4,9.56261,9.56261,1.96468,0,0
1,0,0.100000,512,1,4,9.92566,9.92566,1.95516,0,0
1,1,0.100000,512,0,4,9.77259,9.77259,1.87854,0,0
1,1,0.200000,512,1,4,10.0381,10.0381,2.25269,0,0
1,1,0.300000,512,1,4,9.94439,9.94439,1.9765,0,0
0,1,0.100000,512,1,4,22.1698,22.1698,1.97074,0,0
