SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,0,0.200000,64,0,4,9.75316,9.75316,1.87215,0,0
1,0,0.100000,512,0,4,9.69399,9.69399,1.85648,0,0
1,0,0.200000,256,1,8,9.6213,9.6213,1.94018,0,0
1,0,0.100000,16,1,4,14.6562,14.6562,1.94545,0,0
0,1,0.100000,32,1,4,21.2029,21.2029,1.92687,0,0
1,0,0.100000,16,0,8,12.9679,12.9679,1.86775,0,0
1,0,0.100000,256,0,4,9.57901,9.57901,1.8536,0,0
1,1,0.200000,128,0,4,9.63683,9.63683,1.85773,0,0
1,0,0.300000,512,1,8,10.0329,10.0329,2.23834,0,0
0,0,0.200000,16,0,4,25.6421,25.6421,1.8738,0,0
0,1,0.300000,256,1,4,21.1254,21.1254,2.23407,0,0
1,0,0.300000,64,0,8,9.56137,9.56137,1.89924,0,0
0,0,0.100000,16,0,8,27.1422,27.1422,1.88676,0,0
0,1,0.300000,64,0,8,22.3035,22.3035,1.85715,0,0
0,1,0.100000,128,1,8,20.8994,20.8994,1.92059,0,0
1,1,0.300000,16,0,8,13.3841,13.3841,1.8709,0,0
0,1,0.300000,128,1,8,20.6843,20.6843,1.91982,0,0
0,0,0.200000,32,1,4,22.4162,22.4162,1.94994,0,0
1,0,0.100000,64,1,4,9.70716,9.70716,1.92896,0,0
1,1,0.200000,64,0,8,9.81613,9.81613,1.8722,0,0
0,1,0.100000,128,0,8,22.5619,22.5619,1.97969,0,0
1,0,0.300000,128,0,4,9.69767,9.69767,1.85755,0,0
0,1,0.200000,512,0,4,23.3227,23.3227,1.8544,0,0
0,1,0.200000,64,1,4,21.6717,21.6717,1.94736,0,0
1,0,0.200000,16,1,8,15.6615,15.6615,1.97314,0,0
1,0,0.200000,512,0,4,9.58763,9.58763,1.86278,0,0
1,0,0.200000,32,1,4,12.2523,12.2523,1.9495,0,0
0,0,0.200000,128,1,8,21.0705,21.0705,1.92872,0,0
1,1,0.300000,256,1,8,9.62245,9.62245,1.9521,0,0
1,1,0.100000,32,0,8,11.4247,11.4247,1.86237,0,0
0,1,0.100000,64,0,8,22.9133,22.9133,1.83841,0,0
0,0,0.200000,512,1,4,21.6679,21.6679,1.9135,0,0
1,1,0.300000,512,0,4,9.76708,9.76708,1.84975,0,0
1,1,0.300000,16,1,8,15.9715,15.9715,1.96784,0,0
1,1,0.300000,256,0,8,9.70414,9.70414,1.87176,0,0
0,0,0.100000,32,1,4,23.7759,23.7759,1.96487,0,0
0,1,0.200000,32,1,4,23.8157,23.8157,1.92562,0,0
1,0,0.200000,256,0,4,9.62308,9.62308,1.84831,0,0
1,1,0.200000,32,0,4,11.4417,11.4417,1.84935,0,0
1,1,0.100000,64,0,4,10.3993,10.3993,2.17073,0,0
0,0,0.100000,128,0,4,22.3939,22.3939,1.86126,0,0
0,0,0.200000,16,1,4,25.9139,25.9139,1.96318,0,0
1,0,0.300000,64,1,4,10.1458,10.1458,1.92987,0,0
0,1,0.100000,16,0,4,26.9873,26.9873,1.88216,0,0
1,0,0.100000,64,0,4,10.151,10.151,1.85453,0,0
1,1,0.300000,128,1,8,9.72091,9.72091,1.9561,0,0
1,1,0.100000,32,1,4,12.7899,12.7899,1.94343,0,0
0,1,0.200000,128,1,4,21.0956,21.0956,1.94737,0,0
1,1,0.300000,64,1,4,10.4985,10.4985,1.91556,0,0
0,0,0.300000,128,1,8,21.228,21.228,1.90517,0,0
1,1,0.200000,512,0,4,9.53029,9.53029,2.21652,0,0
1,0,0.300000,16,1,4,15.6406,15.6406,1.96063,0,0
0,0,0.100000,128,1,8,21.1274,21.1274,1.9391,0,0
1,1,0.200000,32,1,8,11.8897,11.8897,1.93602,0,0
0,1,0.100000,32,0,4,25.304,25.304,1.84146,0,0
0,0,0.200000,128,0,4,22.7472,22.7472,1.86443,0,0
0,1,0.200000,512,1,4,22.138,22.138,1.9332,0,0
1,1,0.200000,64,1,4,10.5593,10.5593,1.97903,0,0
0,1,0.200000,32,0,4,25.0359,25.0359,1.8489,0,0
1,1,0.200000,256,0,4,9.65209,9.65209,1.85467,0,0
1,0,0.300000,256,1,8,9.75477,9.75477,1.95497,0,0
1,1,0.100000,64,1,4,10.6398,10.6398,1.94505,0,0
0,0,0.300000,256,0,4,22.5625,22.5625,1.82806,0,0
0,1,0.200000,256,1,4,21.4751,21.4751,1.94294,0,0
0,0,0.100000,512,0,8,23.1047,23.1047,1.82206,0,0
0,1,0.200000,16,0,8,24.7004,24.7004,1.87992,0,0
0,1,0.300000,16,0,4,25.8518,25.8518,1.87092,0,0
0,0,0.100000,32,0,8,23.9707,23.9707,1.8452,0,0
0,1,0.100000,256,0,8,22.7086,22.7086,1.87043,0,0
1,1,0.100000,128,0,4,10.0853,10.0853,1.86836,0,0
0,1,0.300000,256,0,8,22.5801,22.5801,1.99763,0,0
1,0,0.300000,128,1,8,9.8024,9.8024,1.94429,0,0
0,0,0.300000,64,1,8,21.5106,21.5106,1.92317,0,0
