SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.300000,256,0,4,23.1173,23.1173,1.86609,0,0
0,0,0.300000,512,0,4,23.4945,23.4945,1.87176,0,0
0,0,0.300000,128,0,4,22.1433,22.1433,1.86758,0,0
0,1,0.300000,256,0,4,22.5534,22.5534,1.8685,0,0
1,0,0.300000,256,0,4,9.43373,9.43373,1.86349,0,0
0,0,0.300000,256,1,4,21.1465,21.1465,1.93802,0,0
0,0,0.200000,256,0,4,22.8534,22.8534,1.85638,0,0
1,0,0.300000,512,0,4,9.40318,9.40318,1.85638,0,0
1,0,0.300000,128,0,4,9.47887,9.47887,1.83923,0,0
1,1,0.300000,256,0,4,9.35272,9.35272,1.85455,0,0
1,0,0.300000,256,1,4,9.7246,9.7246,1.93706,0,0
1,0,0.200000,256,0,4,9.33115,9.33115,1.86465,0,0
1,0,0.200000,512,0,4,9.8552,9.8552,1.84363,0,0
1,0,0.200000,128,0,4,9.42182,9.42182,1.85408,0,0
1,1,0.200000,256,0,4,9.4946,9.4946,1.86998,0,0
1,0,0.200000,256,1,4,9.78636,9.78636,1.94715,0,0
1,0,0.100000,256,0,4,9.47386,9.47386,1.85413,0,0
