SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,1,0.300000,512,1,8,19.7635,19.7635,1.68257,0,0
1,1,0.200000,64,0,8,6.43301,6.43301,1.51423,0,0
1,1,0.300000,256,1,8,7.41175,7.41175,1.57463,0,0
0,0,0.300000,512,0,8,21.0464,21.0464,1.49923,0,0
1,0,0.100000,64,1,4,7.50481,7.50481,1.5744,0,0
1,0,0.300000,16,1,4,9.6653,9.6653,1.58382,0,0
0,1,0.100000,32,1,4,18.0534,18.0534,1.5459,0,0
1,0,0.300000,128,0,4,6.89447,6.89447,1.50802,0,0
1,0,0.300000,256,1,8,7.3244,7.3244,1.57326,0,0
1,1,0.100000,512,0,4,7.38122,7.38122,1.47884,0,0
1,0,0.200000,32,1,4,7.87391,7.87391,1.57634,0,0
0,1,0.200000,64,0,8,19.538,19.538,1.45813,0,0
0,0,0.100000,128,0,4,20.0885,20.0885,1.48633,0,0
0,0,0.200000,256,0,4,20.4436,20.4436,1.48168,0,0
0,0,0.100000,256,0,8,20.5015,20.5015,1.49611,0,0
1,0,0.300000,512,1,8,7.44813,7.44813,1.57254,0,0
0,1,0.300000,64,0,4,19.5053,19.5053,1.49541,0,0
1,1,0.200000,16,1,4,9.70639,9.70639,1.58768,0,0
0,1,0.300000,256,1,4,19.1192,19.1192,1.55157,0,0
1,0,0.300000,16,0,4,7.84472,7.84472,1.53792,0,0
1,0,0.100000,128,0,8,6.97705,6.97705,1.46943,0,0
1,0,0.100000,16,1,4,9.76434,9.76434,1.59417,0,0
0,0,0.300000,64,0,4,19.6268,19.6268,1.47378,0,0
1,1,0.200000,32,1,4,7.86826,7.86826,1.57284,0,0
1,0,0.200000,512,1,8,7.44079,7.44079,1.55911,0,0
0,0,0.100000,32,0,8,19.5344,19.5344,1.49597,0,0
0,0,0.100000,512,1,4,19.4206,19.4206,1.56186,0,0
1,1,0.100000,16,1,8,9.97126,9.97126,1.58943,0,0
1,0,0.200000,128,0,8,6.96651,6.96651,1.49105,0,0
0,1,0.300000,128,1,4,19.0464,19.0464,1.58783,0,0
0,0,0.200000,16,1,4,20.8709,20.8709,1.59231,0,0
1,0,0.200000,64,0,8,6.76639,6.76639,1.49614,0,0
1,0,0.300000,64,1,8,7.61763,7.61763,1.57122,0,0
0,1,0.200000,512,0,4,21.0104,21.0104,1.83671,0,0
0,0,0.200000,32,1,4,18.0387,18.0387,1.56741,0,0
1,0,0.100000,64,0,4,6.64833,6.64833,1.50653,0,0
1,0,0.100000,32,1,4,7.77651,7.77651,1.58354,0,0
1,0,0.200000,32,0,4,7.05268,7.05268,1.50296,0,0
1,1,0.300000,512,0,8,7.31878,7.31878,1.48639,0,0
1,0,0.100000,512,1,8,7.45041,7.45041,1.57495,0,0
1,1,0.300000,32,1,8,7.82462,7.82462,1.56984,0,0
0,0,0.300000,512,1,8,19.564,19.564,1.55853,0,0
0,1,0.100000,512,1,4,19.775,19.775,1.55972,0,0
0,1,0.100000,256,1,8,19.1124,19.1124,1.55628,0,0
1,0,0.200000,16,0,4,8.01158,8.01158,1.52262,0,0
0,1,0.200000,128,0,8,20.4745,20.4745,1.48699,0,0
1,0,0.300000,512,0,8,7.44857,7.44857,1.47879,0,0
0,0,0.200000,256,1,4,18.6311,18.6311,1.56135,0,0
1,0,0.100000,512,0,4,7.46232,7.46232,1.48539,0,0
0,0,0.100000,32,1,4,18.0573,18.0573,1.54815,0,0
0,0,0.100000,256,1,4,18.901,18.901,1.56298,0,0
1,0,0.100000,128,1,8,7.5764,7.5764,1.56328,0,0
1,1,0.300000,512,1,4,7.58447,7.58447,1.57618,0,0
0,0,0.100000,64,1,4,18.4941,18.4941,1.54522,0,0
0,0,0.300000,256,1,4,18.8162,18.8162,1.5686,0,0
0,1,0.200000,512,1,4,19.5459,19.5459,1.55593,0,0
1,0,0.300000,128,1,4,7.68952,7.68952,1.58469,0,0
1,1,0.200000,16,0,4,7.81087,7.81087,1.52639,0,0
1,0,0.200000,256,0,8,7.13098,7.13098,1.47931,0,0
1,1,0.200000,128,1,8,7.50703,7.50703,1.56826,0,0
1,0,0.200000,64,1,4,7.52555,7.52555,1.57936,0,0
0,0,0.300000,16,0,8,19.9275,19.9275,1.5021,0,0
0,1,0.100000,128,1,4,18.8173,18.8173,1.55837,0,0
0,0,0.300000,32,0,8,19.3961,19.3961,1.51004,0,0
0,1,0.300000,256,0,8,20.3221,20.3221,1.47031,0,0
0,0,0.200000,64,1,8,18.0532,18.0532,1.5596,0,0
0,0,0.300000,32,1,8,18.1316,18.1316,1.56125,0,0
0,1,0.100000,64,0,8,19.527,19.527,1.48776,0,0
1,1,0.300000,32,0,4,6.92419,6.92419,1.4906,0,0
1,1,0.100000,64,1,4,8.16322,8.16322,1.56516,0,0
