SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,20.2453,20.2453,1.51101,0,0
0,0,0.100000,32,0,4,19.8125,19.8125,1.48841,0,0
0,1,0.100000,16,0,4,20.1073,20.1073,1.51985,0,0
0,0,0.100000,16,1,4,19.0574,19.0574,1.56145,0,0
0,0,0.200000,16,0,4,20.3066,20.3066,1.49995,0,0
1,0,0.100000,16,0,4,7.84115,7.84115,1.49263,0,0
1,0,0.100000,32,0,4,6.85538,6.85538,1.67049,0,0
1,1,0.100000,16,0,4,8.01229,8.01229,1.50835,0,0
1,0,0.100000,16,1,4,9.82569,9.82569,1.57868,0,0
1,0,0.200000,16,0,4,7.98694,7.98694,1.4944,0,0
1,0,0.100000,64,0,4,6.4431,6.4431,1.50867,0,0
1,1,0.100000,32,0,4,6.90457,6.90457,1.45477,0,0
1,0,0.100000,32,1,4,7.98216,7.98216,1.5884,0,0
1,0,0.200000,32,0,4,6.86316,6.86316,1.47747,0,0
1,0,0.100000,128,0,4,6.69954,6.69954,1.50473,0,0
1,1,0.100000,64,0,4,6.42437,6.42437,1.83853,0,0
1,0,0.100000,64,1,4,7.04233,7.04233,1.55078,0,0
1,0,0.200000,64,0,4,6.47011,6.47011,1.51954,0,0
0,0,0.100000,64,0,4,19.4816,19.4816,1.47512,0,0
1,1,0.100000,128,0,4,6.65037,6.65037,1.46543,0,0
1,1,0.100000,64,1,4,7.12599,7.12599,1.55736,0,0
1,1,0.200000,64,0,4,6.47504,6.47504,1.48338,0,0
0,1,0.100000,64,0,4,19.4602,19.4602,1.50248,0,0
