SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,1,0.300000,64,1,4,18.5388,18.5388,1.88148,0,0
1,1,0.300000,512,0,4,7.35499,7.35499,1.4863,0,0
0,0,0.100000,256,0,8,20.5746,20.5746,1.71487,0,0
1,1,0.100000,128,1,8,6.89535,6.89535,1.57928,0,0
0,0,0.100000,512,1,4,19.6077,19.6077,1.5469,0,0
0,1,0.300000,256,1,8,19.095,19.095,1.54755,0,0
0,0,0.200000,256,1,8,18.5677,18.5677,1.53784,0,0
1,0,0.300000,256,0,4,7.03295,7.03295,1.48406,0,0
0,0,0.200000,256,0,4,20.2616,20.2616,1.47844,0,0
0,0,0.300000,32,0,4,19.6044,19.6044,1.4834,0,0
0,1,0.300000,256,0,4,20.3395,20.3395,1.49773,0,0
1,0,0.300000,16,1,8,9.81546,9.81546,1.58547,0,0
0,1,0.100000,512,0,4,20.959,20.959,1.48339,0,0
1,0,0.200000,16,0,4,7.83415,7.83415,1.49928,0,0
0,0,0.100000,16,0,8,20.0087,20.0087,1.48806,0,0
1,1,0.200000,32,0,8,6.90228,6.90228,1.4819,0,0
0,0,0.200000,64,1,4,18.217,18.217,1.55901,0,0
1,1,0.100000,16,0,8,7.87176,7.87176,1.5088,0,0
1,1,0.200000,32,1,8,7.75639,7.75639,1.55195,0,0
1,0,0.200000,16,1,8,9.67774,9.67774,1.57527,0,0
1,0,0.200000,256,0,4,6.92381,6.92381,1.47621,0,0
0,0,0.100000,64,0,4,20.0838,20.0838,1.48726,0,0
1,0,0.300000,128,1,8,7.04705,7.04705,1.56141,0,0
0,0,0.300000,512,0,8,21.164,21.164,1.49757,0,0
0,0,0.300000,16,1,8,19.2222,19.2222,1.5536,0,0
0,1,0.300000,32,1,8,18.018,18.018,1.54554,0,0
1,0,0.200000,512,1,4,7.50504,7.50504,1.57896,0,0
1,0,0.300000,64,1,8,7.54135,7.54135,1.56882,0,0
1,0,0.200000,64,0,8,6.71397,6.71397,1.47684,0,0
0,1,0.300000,16,0,8,20.0814,20.0814,1.50157,0,0
0,1,0.200000,32,1,8,18.0132,18.0132,1.56518,0,0
1,1,0.300000,32,1,8,7.86578,7.86578,1.57088,0,0
0,1,0.200000,512,1,8,19.8138,19.8138,1.55233,0,0
0,1,0.100000,256,1,8,19.0129,19.0129,1.53701,0,0
0,0,0.100000,32,1,4,18.0514,18.0514,1.55711,0,0
1,0,0.300000,256,1,4,7.2341,7.2341,1.54999,0,0
0,0,0.300000,256,0,8,20.5245,20.5245,1.47867,0,0
1,1,0.300000,16,1,8,9.62316,9.62316,1.58917,0,0
1,0,0.200000,128,0,8,6.72882,6.72882,1.4841,0,0
0,0,0.100000,32,0,8,19.8205,19.8205,1.48451,0,0
0,0,0.300000,16,0,4,20.07,20.07,1.49282,0,0
0,1,0.300000,128,0,4,19.9547,19.9547,1.49344,0,0
1,0,0.300000,512,0,4,7.38081,7.38081,1.82057,0,0
0,0,0.300000,32,1,4,18.0915,18.0915,1.53717,0,0
1,1,0.300000,64,0,4,6.61241,6.61241,1.49167,0,0
0,1,0.300000,512,1,4,19.5366,19.5366,1.55775,0,0
0,1,0.100000,256,0,4,20.2931,20.2931,1.75965,0,0
0,1,0.100000,512,1,8,19.5378,19.5378,1.53331,0,0
1,0,0.200000,256,1,8,7.14754,7.14754,1.56358,0,0
0,0,0.100000,64,1,8,18.4871,18.4871,1.55011,0,0
0,1,0.300000,512,0,8,21.1944,21.1944,1.46731,0,0
0,1,0.100000,16,1,4,19.1438,19.1438,1.55163,0,0
0,0,0.100000,256,1,8,18.7018,18.7018,1.54353,0,0
1,1,0.100000,512,0,8,7.32528,7.32528,1.4934,0,0
1,1,0.100000,32,0,8,6.9359,6.9359,1.48758,0,0
1,0,0.100000,512,1,4,7.39618,7.39618,1.55223,0,0
0,1,0.100000,128,0,4,20.127,20.127,1.46888,0,0
0,0,0.300000,512,1,4,19.4379,19.4379,1.54679,0,0
0,1,0.200000,64,0,4,19.8226,19.8226,1.49379,0,0
0,1,0.200000,128,0,8,19.9917,19.9917,1.49124,0,0
1,0,0.300000,64,0,4,6.73111,6.73111,1.48415,0,0
1,1,0.300000,512,1,4,7.57135,7.57135,1.57133,0,0
1,1,0.200000,128,1,4,7.04025,7.04025,1.68781,0,0
1,0,0.300000,128,0,8,6.8146,6.8146,1.46695,0,0
0,0,0.200000,512,1,4,19.5292,19.5292,1.92498,0,0
0,1,0.300000,64,0,4,19.8504,19.8504,1.48852,0,0
1,1,0.100000,256,0,4,6.9624,6.9624,1.499,0,0
0,0,0.200000,512,0,8,21.0723,21.0723,1.48451,0,0
1,0,0.200000,512,0,4,7.34805,7.34805,1.58415,0,0
1,1,0.200000,16,0,8,7.89763,7.89763,1.50781,0,0
0,1,0.300000,32,0,4,19.3955,19.3955,1.47763,0,0
