SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.200000,16,0,8,19.6982,19.6982,2.03429,0,0
0,0,0.200000,32,0,8,18.438,18.438,1.93001,0,0
0,0,0.200000,64,0,8,15.806,15.806,1.95867,0,0
0,0,0.200000,128,0,8,17.0396,17.0396,1.94635,0,0
0,0,0.200000,256,0,8,16.4652,16.4652,1.97395,0,0
0,0,0.200000,512,0,8,15.9254,15.9254,1.95573,0,0
0,1,0.200000,64,0,8,16.5166,16.5166,1.97252,0,0
1,0,0.200000,64,0,8,7.72782,7.72782,1.95517,0,0
1,0,0.200000,64,1,8,8.38183,8.38183,2.03239,0,0
1,0,0.100000,64,0,8,7.6789,7.6789,1.95801,0,0
1,0,0.300000,64,0,8,8.49997,8.49997,1.96312,0,0
1,0,0.100000,16,0,8,11.1461,11.1461,1.97184,0,0
1,0,0.100000,32,0,8,8.7393,8.7393,1.96406,0,0
1,0,0.100000,128,0,8,7.15423,7.15423,1.96467,0,0
1,0,0.100000,256,0,8,7.03853,7.03853,1.96632,0,0
1,0,0.100000,512,0,8,7.38594,7.38594,1.97312,0,0
1,1,0.100000,256,0,8,7.37561,7.37561,1.96571,0,0
0,0,0.100000,256,0,8,16.6505,16.6505,1.96403,0,0
1,0,0.100000,256,1,8,6.81231,6.81231,2.01713,0,0
1,0,0.200000,256,1,8,6.48103,6.48103,2.0265,0,0
1,0,0.300000,256,1,8,6.457,6.457,2.03272,0,0
1,0,0.300000,16,1,8,11.5913,11.5913,2.04094,0,0
1,0,0.300000,32,1,8,9.37709,9.37709,2.01333,0,0
1,0,0.300000,64,1,8,7.96103,7.96103,2.02508,0,0
1,0,0.300000,128,1,8,6.742,6.742,2.01667,0,0
1,0,0.300000,512,1,8,6.6892,6.6892,2.00419,0,0
1,1,0.300000,256,1,8,6.45887,6.45887,2.02177,0,0
0,0,0.300000,256,1,8,14.405,14.405,2.0161,0,0
1,0,0.300000,256,0,8,7.0007,7.0007,1.95826,0,0
