SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,0,0.200000,32,0,8,4.22743,4.22743,1.52438,0,0
1,0,0.200000,64,0,8,4.45406,4.45406,1.51025,0,0
1,0,0.200000,16,0,8,4.87756,4.87756,1.52872,0,0
1,1,0.200000,32,0,8,4.15005,4.15005,1.51823,0,0
0,0,0.200000,32,0,8,12.5801,12.5801,1.50723,0,0
1,0,0.200000,32,1,8,4.67129,4.67129,1.55706,0,0
1,0,0.300000,32,0,8,4.33356,4.33356,1.50428,0,0
1,0,0.100000,32,0,8,4.31556,4.31556,1.52389,0,0
1,1,0.200000,64,0,8,4.09629,4.09629,1.50808,0,0
1,1,0.200000,16,0,8,4.96912,4.96912,1.51682,0,0
0,1,0.200000,32,0,8,12.3627,12.3627,1.49116,0,0
1,1,0.200000,32,1,8,4.60011,4.60011,1.56684,0,0
1,1,0.300000,32,0,8,4.43988,4.43988,1.50446,0,0
1,1,0.100000,32,0,8,4.39791,4.39791,1.50723,0,0
1,1,0.200000,128,0,8,4.15028,4.15028,1.52153,0,0
0,1,0.200000,64,0,8,12.5978,12.5978,1.51365,0,0
1,1,0.200000,64,1,8,4.06968,4.06968,1.58411,0,0
1,1,0.300000,64,0,8,4.05411,4.05411,1.50302,0,0
1,1,0.100000,64,0,8,4.04131,4.04131,1.48498,0,0
1,1,0.100000,128,0,8,4.07236,4.07236,1.48682,0,0
1,0,0.100000,64,0,8,4.23161,4.23161,1.49445,0,0
0,1,0.100000,64,0,8,12.6697,12.6697,1.49653,0,0
1,1,0.100000,64,1,8,4.11642,4.11642,1.56967,0,0
