SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,18.4771,18.4771,2.00149,0,0
0,0,0.100000,32,0,4,15.9902,15.9902,1.8943,0,0
0,0,0.100000,64,0,4,17.0406,17.0406,1.93046,0,0
0,0,0.100000,128,0,4,16.7293,16.7293,1.94038,0,0
0,0,0.100000,256,0,4,15.8627,15.8627,1.92383,0,0
0,0,0.100000,512,0,4,15.985,15.985,1.92753,0,0
0,1,0.100000,256,0,4,15.6831,15.6831,1.92619,0,0
1,1,0.100000,256,0,4,7.14003,7.14003,1.91449,0,0
1,1,0.100000,256,1,4,6.62507,6.62507,1.98083,0,0
1,1,0.200000,256,1,4,6.80824,6.80824,1.98833,0,0
1,1,0.300000,256,1,4,6.70319,6.70319,1.99168,0,0
1,1,0.100000,16,1,4,10.9762,10.9762,2.01452,0,0
1,1,0.100000,32,1,4,9.32995,9.32995,1.98374,0,0
1,1,0.100000,64,1,4,8.1377,8.1377,2.11854,0,0
1,1,0.100000,128,1,4,7.19026,7.19026,1.97451,0,0
1,1,0.100000,512,1,4,6.84308,6.84308,1.98385,0,0
1,0,0.100000,256,1,4,7.03086,7.03086,1.9837,0,0
0,1,0.100000,256,1,4,13.9863,13.9863,1.95806,0,0
