SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,0.300000,512,0,4,7.07409,7.07409,2.01375,0,0
0,1,0.300000,64,1,4,14.3203,14.3203,1.96601,0,0
0,0,0.200000,512,1,4,14.8445,14.8445,1.98465,0,0
0,1,0.100000,32,0,4,16.1775,16.1775,1.93924,0,0
0,0,0.300000,64,1,4,13.8455,13.8455,2.00315,0,0
0,1,0.200000,32,0,4,17.9096,17.9096,1.94096,0,0
1,1,0.300000,256,0,8,6.50472,6.50472,1.92565,0,0
0,0,0.100000,16,0,4,18.0264,18.0264,1.94128,0,0
0,1,0.200000,16,1,8,19.4828,19.4828,1.99923,0,0
0,1,0.300000,256,1,4,14.5079,14.5079,2.00349,0,0
1,1,0.300000,64,1,8,7.73,7.73,2.01489,0,0
0,1,0.300000,128,0,8,16.4189,16.4189,1.92374,0,0
1,0,0.300000,512,0,8,7.12808,7.12808,1.92299,0,0
0,0,0.200000,32,1,8,16.7085,16.7085,1.99183,0,0
0,0,0.200000,64,0,8,16.967,16.967,1.94083,0,0
0,0,0.300000,256,1,4,14.1531,14.1531,1.97581,0,0
0,1,0.200000,64,1,8,14.5654,14.5654,2.01854,0,0
0,0,0.300000,32,1,8,15.1926,15.1926,1.9793,0,0
1,0,0.200000,256,0,8,6.61178,6.61178,1.93924,0,0
1,0,0.200000,128,1,8,7.60411,7.60411,1.98668,0,0
1,1,0.100000,256,0,8,6.52265,6.52265,1.92707,0,0
0,1,0.300000,256,0,4,16.0641,16.0641,1.93116,0,0
0,0,0.300000,32,0,4,17.5648,17.5648,1.9175,0,0
0,1,0.300000,16,0,8,20.0503,20.0503,1.97966,0,0
1,1,0.100000,16,1,4,10.887,10.887,2.01529,0,0
1,1,0.200000,512,0,4,6.98234,6.98234,1.94113,0,0
1,1,0.200000,32,0,4,7.93702,7.93702,1.93325,0,0
1,0,0.300000,64,1,8,8.79563,8.79563,1.98407,0,0
0,0,0.100000,64,1,4,14.5245,14.5245,1.99776,0,0
0,0,0.300000,128,1,4,14.1243,14.1243,1.99644,0,0
1,1,0.300000,128,0,4,7.57276,7.57276,1.93791,0,0
1,0,0.200000,512,0,4,6.90994,6.90994,1.94644,0,0
0,1,0.200000,256,1,8,14.0921,14.0921,1.98351,0,0
0,1,0.100000,512,1,4,14.2765,14.2765,2.00647,0,0
0,1,0.100000,256,0,4,16.4087,16.4087,1.92548,0,0
0,0,0.200000,128,1,8,14.5108,14.5108,2.00547,0,0
0,1,0.100000,512,0,8,15.8973,15.8973,1.95495,0,0
1,1,0.200000,64,1,4,7.08292,7.08292,1.99968,0,0
0,1,0.100000,32,1,4,15.8497,15.8497,2.00159,0,0
1,0,0.100000,16,0,4,10.3688,10.3688,1.96206,0,0
1,0,0.300000,64,0,8,7.84856,7.84856,1.95325,0,0
0,0,0.200000,16,1,8,18.4472,18.4472,2.00399,0,0
0,0,0.100000,128,0,4,17.2853,17.2853,1.94601,0,0
1,0,0.200000,64,1,8,7.56108,7.56108,1.99359,0,0
0,0,0.200000,16,0,4,20.7236,20.7236,1.96028,0,0
0,1,0.200000,64,0,4,16.8386,16.8386,1.92294,0,0
0,1,0.200000,512,1,4,14.2904,14.2904,1.98896,0,0
1,1,0.100000,128,1,4,7.12193,7.12193,1.99304,0,0
0,0,0.100000,512,1,8,14.6516,14.6516,2.00452,0,0
1,1,0.100000,512,0,8,6.82351,6.82351,1.93241,0,0
0,0,0.300000,256,0,4,16.4849,16.4849,1.94835,0,0
1,0,0.300000,32,1,4,9.1735,9.1735,2.02103,0,0
1,0,0.300000,32,0,8,9.41767,9.41767,1.93258,0,0
1,0,0.200000,512,1,8,6.60271,6.60271,2.0009,0,0
1,0,0.200000,64,0,8,8.87074,8.87074,1.91382,0,0
1,1,0.300000,64,0,8,8.41827,8.41827,1.95403,0,0
1,0,0.100000,64,1,4,8.53079,8.53079,1.99806,0,0
0,0,0.100000,32,0,4,18.183,18.183,1.9186,0,0
1,1,0.300000,128,1,8,7.71221,7.71221,1.98957,0,0
1,1,0.200000,128,1,4,6.71064,6.71064,1.99178,0,0
0,1,0.200000,128,1,4,14.6138,14.6138,1.99208,0,0
0,1,0.100000,16,1,8,18.1202,18.1202,2.01617,0,0
1,0,0.100000,256,1,4,6.96991,6.96991,1.99572,0,0
1,1,0.200000,256,1,8,6.80349,6.80349,2.00084,0,0
1,1,0.300000,512,1,8,6.95279,6.95279,2.00364,0,0
1,1,0.300000,32,1,4,9.70729,9.70729,2.01176,0,0
1,0,0.300000,16,0,8,9.39023,9.39023,1.96337,0,0
0,1,0.300000,32,0,4,18.06,18.06,1.93805,0,0
0,0,0.100000,128,1,8,13.7424,13.7424,2.01333,0,0
1,1,0.300000,16,0,8,11.1341,11.1341,1.9709,0,0
0,0,0.200000,128,0,8,16.7135,16.7135,1.94534,0,0
1,0,0.200000,16,0,4,9.65131,9.65131,1.94759,0,0
1,1,0.100000,16,0,8,10.5848,10.5848,1.97112,0,0
0,1,0.200000,16,0,8,17.9804,17.9804,1.94389,0,0
