SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,18.4683,18.4683,1.9773,0,0
0,0,0.100000,32,0,4,17.9389,17.9389,1.90965,0,0
0,1,0.100000,16,0,4,18.5205,18.5205,1.94946,0,0
1,0,0.100000,16,0,4,9.26931,9.26931,1.95347,0,0
0,0,0.100000,16,1,4,17.2472,17.2472,2.00567,0,0
0,0,0.200000,16,0,4,20.1308,20.1308,1.93725,0,0
1,0,0.100000,32,0,4,10.206,10.206,1.93717,0,0
1,1,0.100000,16,0,4,12.1645,12.1645,1.95648,0,0
1,0,0.100000,16,1,4,12.7335,12.7335,2.02745,0,0
1,0,0.200000,16,0,4,10.8873,10.8873,1.94747,0,0
