SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,12.7245,12.7245,1.58689,0,0
0,0,0.100000,32,0,4,12.6217,12.6217,1.45799,0,0
0,0,0.100000,64,0,4,12.8546,12.8546,1.50058,0,0
0,0,0.100000,128,0,4,13.1438,13.1438,1.49753,0,0
0,0,0.100000,256,0,4,13.7677,13.7677,1.50522,0,0
0,0,0.100000,512,0,4,13.4955,13.4955,1.48677,0,0
0,1,0.100000,32,0,4,12.8986,12.8986,1.48758,0,0
1,0,0.100000,32,0,4,4.41913,4.41913,1.51627,0,0
1,0,0.100000,32,1,4,4.91195,4.91195,1.5601,0,0
1,0,0.200000,32,0,4,4.16275,4.16275,1.49936,0,0
1,0,0.300000,32,0,4,4.57104,4.57104,1.4932,0,0
1,0,0.200000,16,0,4,5.0294,5.0294,1.52077,0,0
1,0,0.200000,64,0,4,4.02078,4.02078,1.50193,0,0
1,0,0.200000,128,0,4,4.23345,4.23345,1.51031,0,0
1,0,0.200000,256,0,4,4.49687,4.49687,1.49928,0,0
1,0,0.200000,512,0,4,4.73023,4.73023,1.51086,0,0
1,1,0.200000,64,0,4,4.02835,4.02835,1.50913,0,0
0,0,0.200000,64,0,4,12.7291,12.7291,1.4969,0,0
1,0,0.200000,64,1,4,4.34242,4.34242,1.57871,0,0
1,0,0.100000,64,0,4,4.14887,4.14887,1.54922,0,0
1,0,0.300000,64,0,4,4.1556,4.1556,1.51011,0,0
