SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,20.983,20.983,2.12282,0,0
0,0,0.100000,32,0,4,19.3302,19.3302,2.01373,0,0
0,0,0.100000,64,0,4,19.1,19.1,2.07601,0,0
0,0,0.100000,128,0,4,20.0096,20.0096,2.02343,0,0
0,0,0.100000,256,0,4,20.0566,20.0566,2.07979,0,0
0,0,0.100000,512,0,4,20.2343,20.2343,2.03455,0,0
0,1,0.100000,64,0,4,18.8442,18.8442,2.09743,0,0
0,1,0.100000,64,1,4,16.1505,16.1505,2.13707,0,0
0,1,0.200000,64,1,4,16.5197,16.5197,2.13516,0,0
0,1,0.300000,64,1,4,17.3665,17.3665,2.06075,0,0
1,1,0.100000,64,1,4,8.4684,8.4684,2.16342,0,0
1,1,0.100000,16,1,4,12.5893,12.5893,2.13264,0,0
1,1,0.100000,32,1,4,10.3566,10.3566,2.12264,0,0
1,1,0.100000,128,1,4,9.0429,9.0429,2.1529,0,0
1,1,0.100000,256,1,4,8.57465,8.57465,2.1636,0,0
1,1,0.100000,512,1,4,8.492,8.492,2.11537,0,0
1,0,0.100000,64,1,4,8.90517,8.90517,2.14574,0,0
1,1,0.100000,64,0,4,8.29141,8.29141,2.04255,0,0
1,1,0.200000,64,0,4,8.88404,8.88404,2.08492,0,0
1,1,0.300000,64,0,4,8.24144,8.24144,2.02634,0,0
0,1,0.300000,64,0,4,19.9608,19.9608,2.03181,0,0
1,1,0.300000,16,0,4,13.0248,13.0248,2.08289,0,0
1,1,0.300000,32,0,4,8.79591,8.79591,2.09457,0,0
1,1,0.300000,128,0,4,8.82043,8.82043,1.99035,0,0
1,1,0.300000,256,0,4,8.62956,8.62956,2.11637,0,0
1,1,0.300000,512,0,4,8.34376,8.34376,2.06842,0,0
1,0,0.300000,64,0,4,8.50996,8.50996,2.07914,0,0
1,1,0.300000,64,1,4,9.44584,9.44584,2.1046,0,0
