SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,512,0,8,20.0351,20.0351,2.09539,0,0
0,1,0.200000,512,0,4,20.8951,20.8951,2.08471,0,0
1,0,0.300000,64,1,4,9.76875,9.76875,2.16341,0,0
1,0,0.200000,128,1,4,8.13592,8.13592,2.12335,0,0
0,0,0.100000,16,0,8,22.5138,22.5138,1.97127,0,0
1,1,0.100000,64,1,4,9.04957,9.04957,2.11285,0,0
0,1,0.300000,64,0,8,20.468,20.468,2.07238,0,0
1,0,0.100000,256,0,8,8.76736,8.76736,2.07501,0,0
0,1,0.300000,128,1,8,17.96,17.96,2.10264,0,0
1,1,0.300000,32,0,8,11.2213,11.2213,2.10285,0,0
0,0,0.100000,128,0,8,19.9381,19.9381,2.00946,0,0
0,0,0.300000,512,0,4,20.2856,20.2856,2.07814,0,0
1,1,0.100000,32,0,8,10.2224,10.2224,2.06563,0,0
1,1,0.300000,256,0,8,8.71251,8.71251,2.04855,0,0
0,0,0.100000,128,1,8,17.9831,17.9831,2.12835,0,0
1,0,0.200000,64,1,4,8.74359,8.74359,2.12824,0,0
1,0,0.300000,512,1,4,8.49522,8.49522,2.13519,0,0
1,1,0.300000,64,1,4,9.25331,9.25331,2.15214,0,0
1,1,0.200000,512,1,4,7.98905,7.98905,2.17483,0,0
0,1,0.100000,16,1,4,22.525,22.525,2.10735,0,0
1,0,0.300000,256,0,8,8.13661,8.13661,2.11488,0,0
1,0,0.100000,16,1,4,13.4138,13.4138,2.1127,0,0
1,0,0.300000,16,1,4,13.9078,13.9078,2.11198,0,0
1,1,0.200000,256,0,4,8.82271,8.82271,2.09109,0,0
0,0,0.200000,512,1,4,17.9834,17.9834,2.09309,0,0
0,0,0.100000,64,0,4,20.4667,20.4667,2.05584,0,0
0,1,0.200000,128,0,8,19.1243,19.1243,1.98766,0,0
0,1,0.300000,64,1,4,17.7579,17.7579,2.16856,0,0
0,1,0.300000,256,0,4,19.9544,19.9544,2.06522,0,0
0,1,0.300000,256,1,8,17.1183,17.1183,2.10181,0,0
0,0,0.300000,16,0,8,24.0901,24.0901,2.09733,0,0
1,1,0.300000,64,0,8,9.14972,9.14972,2.09615,0,0
1,0,0.300000,128,0,4,8.70668,8.70668,2.04615,0,0
1,0,0.100000,128,1,8,7.94153,7.94153,2.13039,0,0
1,1,0.200000,16,1,8,13.5356,13.5356,2.16377,0,0
0,1,0.300000,128,0,4,19.3403,19.3403,2.06931,0,0
1,1,0.300000,32,1,8,9.74867,9.74867,2.12947,0,0
1,1,0.100000,16,1,8,13.2778,13.2778,2.15112,0,0
0,1,0.200000,16,1,8,23.4698,23.4698,2.1519,0,0
1,1,0.200000,512,0,8,8.80875,8.80875,2.11967,0,0
1,1,0.100000,64,0,8,9.80734,9.80734,2.0949,0,0
1,1,0.100000,32,1,8,11.4458,11.4458,2.15703,0,0
0,0,0.300000,64,0,8,19.9594,19.9594,2.08787,0,0
1,1,0.300000,128,1,4,7.73894,7.73894,2.08534,0,0
0,1,0.200000,32,1,8,18.769,18.769,2.07511,0,0
0,1,0.300000,512,1,4,18.0627,18.0627,2.11116,0,0
0,1,0.100000,128,1,4,18.0204,18.0204,2.13519,0,0
0,1,0.100000,64,0,4,21.0247,21.0247,2.01563,0,0
1,0,0.300000,16,0,8,12.283,12.283,2.09483,0,0
1,0,0.200000,256,1,4,8.01021,8.01021,2.11169,0,0
1,0,0.200000,128,0,4,8.86008,8.86008,2.13539,0,0
0,0,0.300000,32,0,4,22.5803,22.5803,1.97248,0,0
0,1,0.100000,256,1,8,18.2516,18.2516,2.11315,0,0
1,1,0.300000,16,1,8,13.6758,13.6758,2.15733,0,0
1,1,0.100000,256,0,4,8.59943,8.59943,2.0383,0,0
1,0,0.100000,256,1,8,8.28972,8.28972,2.16916,0,0
0,1,0.300000,32,0,4,20.673,20.673,2.01193,0,0
0,0,0.200000,128,1,4,17.8039,17.8039,2.17113,0,0
1,0,0.200000,512,0,8,8.2702,8.2702,2.04256,0,0
1,0,0.200000,32,1,8,11.2636,11.2636,2.13966,0,0
0,0,0.100000,32,1,8,19.5888,19.5888,2.10697,0,0
1,0,0.300000,128,1,4,8.73028,8.73028,2.14441,0,0
0,0,0.200000,32,0,8,21.1908,21.1908,2.1003,0,0
0,0,0.200000,64,1,8,17.1483,17.1483,2.15074,0,0
0,1,0.100000,128,0,4,19.8826,19.8826,2.07579,0,0
0,0,0.300000,32,1,8,19.3169,19.3169,2.06442,0,0
1,0,0.300000,32,1,4,12.1878,12.1878,2.12647,0,0
1,1,0.200000,32,1,8,11.3506,11.3506,2.13572,0,0
0,0,0.200000,64,0,8,20.1048,20.1048,2.08594,0,0
0,0,0.200000,256,1,8,17.7449,17.7449,2.14442,0,0
0,1,0.200000,64,1,4,19.0193,19.0193,2.14235,0,0
0,0,0.100000,16,1,4,21.3128,21.3128,2.13865,0,0
1,0,0.100000,16,0,8,11.2955,11.2955,2.09325,0,0
1,1,0.100000,512,1,4,8.46032,8.46032,2.14747,0,0
1,0,0.100000,32,1,4,11.8011,11.8011,2.18452,0,0
1,0,0.100000,64,0,8,8.90659,8.90659,2.06546,0,0
