SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,0,0.100000,256,0,4,8.75578,8.75578,2.14657,0,0
1,0,0.100000,512,0,4,8.53318,8.53318,2.0115,0,0
1,0,0.100000,128,0,4,8.54312,8.54312,2.07052,0,0
1,1,0.100000,256,0,4,8.76027,8.76027,2.06255,0,0
0,0,0.100000,256,0,4,19.303,19.303,2.05723,0,0
1,0,0.100000,256,1,4,7.75499,7.75499,2.14883,0,0
1,0,0.200000,256,0,4,8.2933,8.2933,2.05198,0,0
1,0,0.100000,512,1,4,8.35278,8.35278,2.13604,0,0
1,0,0.100000,128,1,4,8.16584,8.16584,2.16072,0,0
1,1,0.100000,256,1,4,8.34382,8.34382,2.1297,0,0
0,0,0.100000,256,1,4,16.9677,16.9677,2.12036,0,0
1,0,0.200000,256,1,4,8.36279,8.36279,2.15072,0,0
