SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,15.827,15.827,1.74217,0,0
0,0,0.100000,32,0,4,15.4799,15.4799,1.60636,0,0
0,0,0.100000,64,0,4,15.6151,15.6151,1.63453,0,0
0,0,0.100000,128,0,4,15.9156,15.9156,1.63458,0,0
0,0,0.100000,256,0,4,16.4668,16.4668,1.60855,0,0
0,0,0.100000,512,0,4,17.4844,17.4844,1.61342,0,0
0,1,0.100000,32,0,4,15.399,15.399,1.61267,0,0
0,1,0.100000,32,1,4,13.1797,13.1797,1.60851,0,0
0,1,0.200000,32,1,4,13.4245,13.4245,1.67109,0,0
0,1,0.300000,32,1,4,13.1362,13.1362,1.72542,0,0
1,1,0.300000,32,1,4,5.64308,5.64308,1.65981,0,0
1,1,0.300000,16,1,4,7.21384,7.21384,1.668,0,0
1,1,0.300000,64,1,4,5.00345,5.00345,1.70486,0,0
1,1,0.300000,128,1,4,4.82109,4.82109,1.65432,0,0
1,1,0.300000,256,1,4,5.06371,5.06371,1.68507,0,0
1,1,0.300000,512,1,4,5.54626,5.54626,1.71384,0,0
1,0,0.300000,128,1,4,4.96755,4.96755,1.64527,0,0
1,1,0.300000,128,0,4,5.0065,5.0065,1.57194,0,0
1,1,0.100000,128,1,4,5.07892,5.07892,1.64089,0,0
1,1,0.200000,128,1,4,4.8735,4.8735,1.66985,0,0
0,1,0.300000,128,1,4,13.7648,13.7648,1.68303,0,0
