SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,0.100000,256,1,4,5.18328,5.18328,1.80228,0,0
1,0,0.200000,64,0,4,4.81397,4.81397,1.64167,0,0
1,0,0.100000,16,1,8,7.19179,7.19179,1.68654,0,0
1,1,0.100000,64,0,8,5.06437,5.06437,1.64174,0,0
0,0,0.100000,256,1,4,14.084,14.084,1.6764,0,0
1,1,0.200000,32,0,8,5.13595,5.13595,1.65909,0,0
0,0,0.300000,16,0,4,15.2106,15.2106,1.66935,0,0
1,1,0.100000,128,0,4,5.02814,5.02814,1.63877,0,0
0,1,0.300000,16,1,4,13.7653,13.7653,1.71832,0,0
0,0,0.200000,256,0,8,16.2508,16.2508,1.59745,0,0
1,0,0.100000,512,0,4,5.73391,5.73391,1.634,0,0
0,0,0.200000,256,1,4,14.091,14.091,1.72529,0,0
0,0,0.200000,64,1,4,13.0827,13.0827,1.62679,0,0
0,1,0.300000,512,1,4,15.0486,15.0486,1.69585,0,0
1,0,0.200000,16,1,8,7.18639,7.18639,1.70366,0,0
0,1,0.200000,32,0,8,15.1695,15.1695,1.61413,0,0
1,0,0.200000,128,0,8,5.20012,5.20012,1.65614,0,0
1,0,0.100000,512,1,4,5.28809,5.28809,1.71224,0,0
0,0,0.200000,128,0,4,15.8675,15.8675,1.62551,0,0
0,1,0.200000,64,1,8,13.0802,13.0802,1.71565,0,0
0,0,0.200000,16,0,8,15.2474,15.2474,1.67111,0,0
0,1,0.100000,256,1,8,14.2148,14.2148,1.70318,0,0
1,1,0.300000,512,0,8,5.63771,5.63771,1.61232,0,0
0,0,0.200000,512,1,4,15.1515,15.1515,1.66929,0,0
0,0,0.100000,32,1,4,12.985,12.985,1.61805,0,0
0,1,0.100000,512,1,4,15.0146,15.0146,1.70015,0,0
0,1,0.300000,128,0,8,16.2855,16.2855,1.63458,0,0
0,0,0.100000,256,0,4,16.3168,16.3168,1.54063,0,0
1,1,0.200000,256,1,4,5.01068,5.01068,1.71011,0,0
0,1,0.200000,512,1,4,15.3156,15.3156,1.64431,0,0
1,0,0.100000,32,1,4,5.94318,5.94318,1.69881,0,0
1,0,0.200000,256,1,4,5.11875,5.11875,1.66152,0,0
1,1,0.100000,32,1,8,5.75542,5.75542,1.69627,0,0
0,0,0.100000,512,1,4,15.295,15.295,1.73541,0,0
1,1,0.300000,128,1,4,4.79404,4.79404,1.69995,0,0
0,0,0.300000,256,1,8,14.0063,14.0063,1.70122,0,0
1,0,0.200000,512,0,4,5.8055,5.8055,1.62877,0,0
0,1,0.300000,64,0,4,15.7719,15.7719,1.65288,0,0
0,0,0.300000,16,1,4,14.2206,14.2206,1.68574,0,0
1,0,0.100000,64,1,8,4.97743,4.97743,1.70568,0,0
0,1,0.300000,128,1,4,13.399,13.399,1.67417,0,0
0,0,0.300000,512,1,4,15.0906,15.0906,1.71529,0,0
1,0,0.300000,16,0,8,6.01044,6.01044,1.67824,0,0
1,0,0.200000,32,1,4,6.01058,6.01058,1.71835,0,0
1,0,0.100000,256,1,4,5.04534,5.04534,1.67257,0,0
1,0,0.200000,256,0,8,5.26472,5.26472,1.59799,0,0
1,0,0.100000,128,1,8,4.80836,4.80836,1.67234,0,0
1,1,0.300000,256,1,4,5.02279,5.02279,1.68104,0,0
1,0,0.200000,16,0,4,6.13677,6.13677,1.63763,0,0
0,0,0.300000,32,0,4,15.0295,15.0295,1.6509,0,0
1,0,0.300000,256,1,4,4.99792,4.99792,1.61844,0,0
1,0,0.300000,128,1,8,5.00046,5.00046,1.69563,0,0
0,0,0.200000,512,0,8,17.4449,17.4449,1.64501,0,0
1,0,0.200000,128,1,8,4.85492,4.85492,1.73812,0,0
0,1,0.200000,128,0,8,16.579,16.579,1.64822,0,0
0,0,0.100000,128,1,8,13.5803,13.5803,1.67134,0,0
0,1,0.100000,256,0,4,16.963,16.963,1.57345,0,0
1,1,0.100000,128,1,4,4.88344,4.88344,1.65461,0,0
0,1,0.200000,256,1,8,13.9917,13.9917,1.6618,0,0
1,0,0.300000,32,0,4,5.21935,5.21935,1.65945,0,0
1,0,0.100000,256,0,8,5.31165,5.31165,1.60926,0,0
0,1,0.100000,16,1,4,13.8529,13.8529,1.70703,0,0
0,1,0.300000,256,0,4,16.8086,16.8086,1.61056,0,0
0,1,0.100000,32,0,8,15.3068,15.3068,1.60409,0,0
0,0,0.300000,128,0,4,16.0696,16.0696,1.62419,0,0
0,1,0.200000,64,0,8,15.3744,15.3744,1.67998,0,0
0,1,0.300000,64,1,8,12.929,12.929,1.72768,0,0
