SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,15.991,15.991,1.84291,0,0
0,0,0.100000,32,0,4,15.6215,15.6215,1.60215,0,0
0,1,0.100000,16,0,4,15.2285,15.2285,1.61992,0,0
0,0,0.100000,16,1,4,14.0971,14.0971,1.69025,0,0
0,0,0.200000,16,0,4,15.5893,15.5893,1.59565,0,0
1,0,0.100000,16,0,4,6.13738,6.13738,1.63578,0,0
1,0,0.100000,32,0,4,5.2297,5.2297,1.67576,0,0
1,1,0.100000,16,0,4,5.92146,5.92146,1.6468,0,0
1,0,0.100000,16,1,4,7.42561,7.42561,1.69825,0,0
1,0,0.200000,16,0,4,5.87443,5.87443,1.65157,0,0
1,0,0.100000,64,0,4,4.87629,4.87629,1.64195,0,0
1,1,0.100000,32,0,4,5.19728,5.19728,1.64799,0,0
1,0,0.100000,32,1,4,5.71507,5.71507,1.68198,0,0
1,0,0.200000,32,0,4,5.13603,5.13603,1.58396,0,0
1,0,0.100000,128,0,4,5.27448,5.27448,1.60823,0,0
1,1,0.100000,64,0,4,4.96197,4.96197,1.61762,0,0
1,0,0.100000,64,1,4,5.03767,5.03767,1.6901,0,0
1,0,0.200000,64,0,4,4.92881,4.92881,1.60884,0,0
0,0,0.100000,64,0,4,15.6115,15.6115,1.581,0,0
