SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,1,0.200000,32,0,4,22.059,22.059,2.07812,0,0
0,1,0.300000,256,0,4,20.6721,20.6721,2.04347,0,0
0,1,0.300000,128,1,4,18.1159,18.1159,2.11882,0,0
1,0,0.100000,16,0,4,12.2976,12.2976,2.07887,0,0
1,1,0.100000,32,0,8,9.61287,9.61287,2.0242,0,0
1,0,0.300000,512,0,4,8.55505,8.55505,2.04217,0,0
1,0,0.200000,32,0,8,12.0376,12.0376,2.05062,0,0
0,1,0.100000,32,1,8,19.4198,19.4198,2.13617,0,0
1,1,0.200000,512,1,8,7.723,7.723,2.13008,0,0
1,0,0.300000,32,0,4,9.7794,9.7794,2.02662,0,0
1,0,0.200000,512,0,4,8.76493,8.76493,2.05125,0,0
0,0,0.200000,512,0,4,19.8684,19.8684,2.01274,0,0
1,0,0.200000,16,0,4,12.2124,12.2124,2.09856,0,0
1,1,0.100000,16,0,4,12.0842,12.0842,2.08146,0,0
0,1,0.300000,64,1,4,18.3199,18.3199,2.16053,0,0
0,1,0.200000,256,0,8,19.7569,19.7569,2.05084,0,0
1,0,0.100000,512,1,4,8.67899,8.67899,2.20985,0,0
1,1,0.100000,32,1,8,11.5741,11.5741,2.11187,0,0
1,1,0.100000,128,0,8,8.31872,8.31872,2.04225,0,0
1,0,0.300000,256,1,8,7.77953,7.77953,2.1501,0,0
1,0,0.300000,64,0,4,8.84066,8.84066,2.04362,0,0
0,0,0.200000,512,1,4,18.172,18.172,2.02543,0,0
0,0,0.200000,32,1,4,19.7761,19.7761,2.09983,0,0
0,0,0.200000,64,0,4,21.321,21.321,2.04838,0,0
0,1,0.300000,32,1,8,20.2219,20.2219,2.14366,0,0
1,0,0.200000,256,1,4,8.02454,8.02454,2.12709,0,0
0,1,0.200000,128,1,8,16.5858,16.5858,2.08558,0,0
1,0,0.300000,32,1,8,10.8168,10.8168,2.0878,0,0
0,0,0.100000,256,1,8,17.2623,17.2623,2.14273,0,0
0,0,0.300000,16,0,8,21.3472,21.3472,2.08263,0,0
0,0,0.200000,256,0,4,19.6825,19.6825,2.04153,0,0
0,0,0.200000,256,1,8,17.1788,17.1788,2.05494,0,0
0,1,0.100000,32,0,8,21.4939,21.4939,2.00808,0,0
0,1,0.100000,64,0,4,20.1987,20.1987,2.07835,0,0
1,0,0.300000,16,1,4,13.2228,13.2228,2.13532,0,0
1,0,0.200000,256,0,8,8.31883,8.31883,2.07408,0,0
1,1,0.200000,16,1,8,13.1193,13.1193,2.15303,0,0
0,0,0.300000,32,0,8,22.9398,22.9398,2.00178,0,0
1,1,0.200000,16,0,4,13.4478,13.4478,2.07846,0,0
0,0,0.300000,32,1,8,19.8537,19.8537,2.13687,0,0
1,0,0.100000,128,0,8,8.26974,8.26974,2.04938,0,0
0,0,0.200000,128,1,4,17.1892,17.1892,2.08702,0,0
0,0,0.100000,128,0,8,20.364,20.364,1.98518,0,0
0,1,0.200000,32,1,8,19.8787,19.8787,2.11267,0,0
1,0,0.100000,16,1,8,13.4882,13.4882,2.08699,0,0
0,1,0.100000,256,1,4,17.6707,17.6707,2.07284,0,0
1,0,0.200000,64,1,4,9.5396,9.5396,2.12761,0,0
1,1,0.300000,256,0,4,8.82577,8.82577,2.0759,0,0
0,1,0.100000,256,0,4,19.6842,19.6842,2.07493,0,0
1,0,0.100000,64,0,4,8.65468,8.65468,2.04839,0,0
0,1,0.100000,128,0,8,20.084,20.084,2.02415,0,0
1,1,0.300000,64,1,4,9.99616,9.99616,2.11894,0,0
1,1,0.300000,128,1,8,8.55093,8.55093,2.11649,0,0
0,1,0.300000,512,1,4,18.0523,18.0523,2.08709,0,0
0,0,0.200000,32,0,8,21.8851,21.8851,2.05028,0,0
1,1,0.200000,32,1,4,11.1533,11.1533,2.10359,0,0
1,1,0.200000,256,0,8,8.0572,8.0572,2.07668,0,0
0,1,0.300000,16,1,4,21.919,21.919,2.15727,0,0
1,0,0.200000,128,0,4,8.64572,8.64572,2.0442,0,0
0,1,0.300000,64,0,4,21.3668,21.3668,2.07524,0,0
1,1,0.200000,128,0,8,7.74339,7.74339,2.04845,0,0
1,1,0.200000,512,0,4,8.64301,8.64301,1.99667,0,0
0,0,0.200000,64,1,8,17.0245,17.0245,2.09383,0,0
1,1,0.300000,32,0,4,11.1792,11.1792,1.95942,0,0
1,0,0.200000,32,1,4,12.5268,12.5268,2.19245,0,0
0,0,0.300000,512,1,8,17.723,17.723,2.08956,0,0
0,0,0.100000,32,1,8,19.5373,19.5373,2.1025,0,0
1,0,0.100000,32,0,4,11.0059,11.0059,2.08772,0,0
0,1,0.200000,64,0,4,20.5651,20.5651,1.98199,0,0
0,0,0.100000,16,0,4,21.6056,21.6056,2.03215,0,0
0,1,0.100000,512,0,4,20.0867,20.0867,2.06179,0,0
0,1,0.200000,512,0,8,20.1997,20.1997,2.06732,0,0
