KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.814268,0.814268,0.000138827,0,0
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.848913,0.848913,8.2688e-05,0,0
1,1,1,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.811957,0.811957,0.000105304,0,0
1,1,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.810839,0.810839,0.000104846,0,0
1,1,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.829123,0.829123,6.9214e-05,0,0
1,1,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.933397,0.933397,9.1899e-05,0,0
1,2,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.858435,0.858435,0.000105757,0,0
1,4,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.00801,1.00801,8.748e-05,0,0
1,8,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.41954,1.41954,0.000105525,0,0
2,1,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.803866,0.803866,0.000285855,0,0
4,1,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.791601,0.791601,0.000111272,0,0
8,1,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.790753,0.790753,0.000108989,0,0
8,1,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.799152,0.799152,0.000102703,0,0
8,1,4,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.836104,0.836104,0.000127343,0,0
8,1,10,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.761649,0.761649,0.000107865,0,0
8,1,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.760565,0.760565,8.6859e-05,0,0
8,1,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.792682,0.792682,0.000107394,0,0
8,1,10,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.764032,0.764032,0.00015919,0,0
8,1,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.766798,0.766798,0.000138116,0,0
8,1,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.767776,0.767776,6.3752e-05,0,0
8,1,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.777279,0.777279,0.000106601,0,0
8,2,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.865603,0.865603,0.000157486,0,0
8,4,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.965473,0.965473,0.000106712,0,0
8,8,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.13735,1.13735,0.000107812,0,0
1,1,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.783761,0.783761,0.000106369,0,0
2,1,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.783834,0.783834,8.9639e-05,0,0
4,1,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.764946,0.764946,9.27e-05,0,0
8,1,1,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.788924,0.788924,0.000102966,0,0
8,1,2,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.7989,0.7989,0.000106292,0,0
8,1,4,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.837077,0.837077,0.000104679,0,0
