KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.846014,0.846014,0.000162512,0,0
1,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.942251,0.942251,0.000115079,0,0
1,1,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.837571,0.837571,0.000230195,0,0
1,1,1,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.838612,0.838612,0.000169834,0,0
1,1,1,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.845112,0.845112,0.000168758,0,0
1,1,1,32,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.855184,0.855184,0.000175607,0,0
2,1,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.644849,0.644849,0.000106729,0,0
4,1,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.551975,0.551975,0.000244216,0,0
8,1,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.508767,0.508767,0.000113467,0,0
8,2,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.504292,0.504292,0.0001118,0,0
8,4,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.49547,0.49547,0.00011946,0,0
8,8,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.489188,0.489188,0.000112237,0,0
8,8,2,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.489523,0.489523,0.000106216,0,0
8,8,4,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.493046,0.493046,0.00010497,0,0
8,8,10,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.512478,0.512478,0.000123909,0,0
8,8,1,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.502144,0.502144,0.000109082,0,0
8,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.467367,0.467367,0.000109396,0,0
8,8,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.471737,0.471737,0.000219888,0,0
8,8,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.464075,0.464075,0.000123055,0,0
8,8,1,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.458935,0.458935,7.4764e-05,0,0
8,8,1,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.461166,0.461166,0.000112541,0,0
1,8,1,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.93239,0.93239,0.000126414,0,0
2,8,1,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.539716,0.539716,0.000110016,0,0
4,8,1,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.477832,0.477832,0.000110092,0,0
8,1,1,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.491833,0.491833,0.000123436,0,0
8,2,1,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.479379,0.479379,0.00011389,0,0
8,4,1,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.46502,0.46502,0.000112663,0,0
8,8,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.455261,0.455261,0.000111938,0,0
8,8,4,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.459918,0.459918,0.000420735,0,0
8,8,10,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.460239,0.460239,0.000273858,0,0
8,8,2,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.470473,0.470473,0.000213746,0,0
8,8,2,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.492527,0.492527,0.000122699,0,0
8,8,2,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.462268,0.462268,0.000124687,0,0
8,8,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.457696,0.457696,0.000115824,0,0
8,8,2,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.454589,0.454589,0.000110405,0,0
8,8,2,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.460046,0.460046,7.8118e-05,0,0
1,8,2,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.993493,0.993493,0.000120848,0,0
2,8,2,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.54226,0.54226,0.000117158,0,0
4,8,2,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.474525,0.474525,0.000114355,0,0
8,1,2,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.488733,0.488733,0.000114582,0,0
8,2,2,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.467983,0.467983,0.000133887,0,0
8,4,2,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.457963,0.457963,0.000114186,0,0
8,8,1,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.459031,0.459031,0.000113578,0,0
8,8,4,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.459027,0.459027,0.000114943,0,0
8,8,10,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.458713,0.458713,0.000114983,0,0
8,8,2,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.467065,0.467065,0.000122329,0,0
8,8,2,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.494692,0.494692,0.000128728,0,0
