KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,8,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.842154,0.842154,0.000162045,0,0
2,8,2,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.623145,0.623145,0.000104327,0,0
8,8,4,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.488276,0.488276,0.000141453,0,0
4,2,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.510934,0.510934,9.6831e-05,0,0
4,4,10,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.568689,0.568689,0.000236399,0,0
2,2,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.580441,0.580441,0.000182342,0,0
1,2,1,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.980257,0.980257,0.000118401,0,0
1,2,4,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.906486,0.906486,0.000112941,0,0
2,1,4,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.705997,0.705997,0.000275382,0,0
1,4,10,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.823621,0.823621,0.000128154,0,0
4,1,10,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.501593,0.501593,0.000107126,0,0
8,8,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.459334,0.459334,0.00010126,0,0
1,4,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.898499,0.898499,0.000225457,0,0
8,8,4,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.473327,0.473327,0.000110653,0,0
4,2,1,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.545116,0.545116,0.000101236,0,0
8,2,10,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.536038,0.536038,0.00010488,0,0
2,8,10,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.63246,0.63246,0.000196928,0,0
2,1,2,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.646362,0.646362,7.155e-05,0,0
8,2,10,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.581966,0.581966,0.000106185,0,0
8,1,2,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.513511,0.513511,0.000100344,0,0
4,8,4,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.484029,0.484029,0.000102425,0,0
2,4,10,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.586011,0.586011,0.000107564,0,0
4,8,4,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.486444,0.486444,0.000107434,0,0
1,4,10,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.829959,0.829959,6.8439e-05,0,0
1,8,10,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.830517,0.830517,0.000110445,0,0
