KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.954867,0.954867,0.00014684,0,0
1,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.29593,1.29593,9.051e-05,0,0
1,1,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.916847,0.916847,0.000165085,0,0
1,1,1,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.921794,0.921794,0.00010366,0,0
2,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.740772,0.740772,9.4957e-05,0,0
1,2,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.912551,0.912551,9.643e-05,0,0
1,1,2,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.929773,0.929773,9.6644e-05,0,0
1,1,1,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.912779,0.912779,9.0667e-05,0,0
2,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.987487,0.987487,9.5845e-05,0,0
2,1,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.739046,0.739046,9.355e-05,0,0
2,1,1,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.754267,0.754267,9.2727e-05,0,0
4,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.696155,0.696155,0.000292071,0,0
2,2,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.733285,0.733285,9.5653e-05,0,0
2,1,2,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.741569,0.741569,8.8385e-05,0,0
2,1,1,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.737727,0.737727,8.6182e-05,0,0
4,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.974295,0.974295,9.0623e-05,0,0
4,1,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.705852,0.705852,9.1266e-05,0,0
4,1,1,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.716766,0.716766,8.8886e-05,0,0
8,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.747534,0.747534,9.2856e-05,0,0
4,2,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.693727,0.693727,9.0985e-05,0,0
4,1,2,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.692266,0.692266,8.7003e-05,0,0
4,1,1,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.690256,0.690256,9.5754e-05,0,0
4,1,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.968841,0.968841,8.7362e-05,0,0
4,1,1,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.693731,0.693731,9.3756e-05,0,0
4,1,1,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.712541,0.712541,8.6305e-05,0,0
8,1,1,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.741671,0.741671,9.0875e-05,0,0
4,2,1,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.690607,0.690607,0.000173275,0,0
4,1,2,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.700737,0.700737,9.1687e-05,0,0
