KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
4,1,4,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.839162,0.839162,0.000135319,0,0
4,1,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.792652,0.792652,0.00010897,0,0
4,1,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.813367,0.813367,0.000103172,0,0
4,1,4,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.799613,0.799613,0.000104381,0,0
4,1,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.798992,0.798992,5.8692e-05,0,0
4,1,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.822257,0.822257,0.000103836,0,0
4,2,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.813109,0.813109,0.000143738,0,0
4,4,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.977508,0.977508,0.00010486,0,0
4,8,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.23761,1.23761,0.00011239,0,0
1,1,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.81217,0.81217,0.000122036,0,0
2,1,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.802769,0.802769,0.000107463,0,0
8,1,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.794962,0.794962,0.000121964,0,0
4,1,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.79196,0.79196,0.000139229,0,0
4,1,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.790993,0.790993,0.000113732,0,0
4,1,10,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.800701,0.800701,0.000104372,0,0
4,1,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.791106,0.791106,0.000109354,0,0
4,1,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.799713,0.799713,0.000105343,0,0
4,1,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.823894,0.823894,0.00011088,0,0
4,1,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.800429,0.800429,0.000102698,0,0
4,1,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.791911,0.791911,0.000133002,0,0
4,1,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.821514,0.821514,0.000116694,0,0
4,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.807467,0.807467,0.000108619,0,0
4,4,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.955005,0.955005,0.000105194,0,0
4,8,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.22633,1.22633,0.000108944,0,0
1,1,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.808506,0.808506,0.000107866,0,0
2,1,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.802147,0.802147,0.000105345,0,0
8,1,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.800097,0.800097,0.000108394,0,0
