KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
2,1,2,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.674505,0.674505,0.000172944,0,0
1,1,2,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.8634,0.8634,9.9675e-05,0,0
4,1,2,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.586038,0.586038,0.00014488,0,0
8,1,2,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.588334,0.588334,0.000109654,0,0
4,2,2,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.572926,0.572926,0.000101873,0,0
4,4,2,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.556577,0.556577,0.000102717,0,0
4,8,2,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.545155,0.545155,0.000103177,0,0
4,8,1,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.543607,0.543607,9.7139e-05,0,0
4,8,4,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.589774,0.589774,9.7171e-05,0,0
4,8,10,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.582397,0.582397,0.000103525,0,0
4,8,1,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.545411,0.545411,9.9789e-05,0,0
4,8,1,32,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.542582,0.542582,0.000100487,0,0
4,8,1,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.54359,0.54359,0.000101069,0,0
4,8,1,32,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.531105,0.531105,9.8593e-05,0,0
4,8,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.475824,0.475824,0.000100931,0,0
4,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.493743,0.493743,0.000102291,0,0
4,8,1,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.479977,0.479977,0.000173852,0,0
1,8,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.838773,0.838773,0.000103349,0,0
2,8,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.531456,0.531456,0.000100974,0,0
8,8,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.462072,0.462072,0.000112575,0,0
8,1,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.530235,0.530235,0.000111976,0,0
8,2,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.498989,0.498989,0.000105554,0,0
8,4,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.470823,0.470823,0.000104462,0,0
8,8,2,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.456974,0.456974,0.000101245,0,0
8,8,4,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.467884,0.467884,0.000108561,0,0
8,8,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.462211,0.462211,0.000106799,0,0
8,8,2,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.46295,0.46295,0.000109791,0,0
8,8,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.457363,0.457363,0.000103481,0,0
8,8,2,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.460206,0.460206,0.000111149,0,0
8,8,2,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.470056,0.470056,0.000109168,0,0
8,8,2,32,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.497721,0.497721,0.000103577,0,0
8,8,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.462094,0.462094,0.000103424,0,0
8,8,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.45668,0.45668,0.000100661,0,0
1,8,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.899939,0.899939,0.000145699,0,0
2,8,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.544098,0.544098,0.000134741,0,0
4,8,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.477412,0.477412,0.000107523,0,0
8,1,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.493905,0.493905,0.000104797,0,0
8,2,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.466953,0.466953,0.00010977,0,0
8,4,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.460616,0.460616,0.000104216,0,0
8,8,1,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.461637,0.461637,0.000110822,0,0
8,8,4,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.462933,0.462933,0.000106792,0,0
8,8,10,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.462539,0.462539,0.000113963,0,0
8,8,2,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.462124,0.462124,0.000104975,0,0
8,8,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.45545,0.45545,0.000105407,0,0
8,8,2,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.455861,0.455861,0.000104785,0,0
8,8,2,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.466265,0.466265,0.000108105,0,0
8,8,2,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.49336,0.49336,0.000101385,0,0
8,8,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.459266,0.459266,0.000103042,0,0
1,8,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.944069,0.944069,9.997e-05,0,0
2,8,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.540202,0.540202,0.00010441,0,0
4,8,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.473356,0.473356,0.000102722,0,0
8,1,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.494881,0.494881,0.000104649,0,0
8,2,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.467548,0.467548,0.00010591,0,0
8,4,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.459279,0.459279,0.000107008,0,0
8,8,1,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.459376,0.459376,0.000105841,0,0
8,8,4,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.459431,0.459431,0.000104108,0,0
8,8,10,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.458137,0.458137,0.000101959,0,0
