KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
8,8,4,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.105892,0.105892,0.000103634,0,0
4,4,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.111618,0.111618,0.000101743,0,0
4,2,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.104016,0.104016,0.000104221,0,0
4,2,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.121696,0.121696,0.000113519,0,0
2,4,1,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.139569,0.139569,0.00010348,0,0
8,2,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.0987653,0.0987653,0.000122482,0,0
2,8,1,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.121444,0.121444,0.000110461,0,0
4,2,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.111738,0.111738,0.000106773,0,0
8,8,4,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.118637,0.118637,0.000115173,0,0
8,8,2,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.117838,0.117838,0.000110719,0,0
1,2,4,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.105209,0.105209,0.000116689,0,0
2,2,2,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.107855,0.107855,0.000119025,0,0
8,4,10,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.140167,0.140167,9.522e-05,0,0
1,8,4,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.141757,0.141757,0.000115597,0,0
1,8,2,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.226162,0.226162,0.000100525,0,0
1,2,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.106622,0.106622,0.000125472,0,0
4,2,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.165349,0.165349,0.000129818,0,0
4,2,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.106351,0.106351,0.000115891,0,0
4,8,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.107062,0.107062,0.000117762,0,0
1,8,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.226375,0.226375,0.000122284,0,0
2,2,4,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.161817,0.161817,0.000125467,0,0
8,4,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.140216,0.140216,8.1737e-05,0,0
2,4,2,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.142044,0.142044,0.000111393,0,0
1,2,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.107765,0.107765,0.00011178,0,0
4,8,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.116204,0.116204,0.000103284,0,0
8,8,4,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.102704,0.102704,0.000111448,0,0
1,1,10,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.219941,0.219941,0.00011097,0,0
8,1,4,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.206323,0.206323,8.0055e-05,0,0
8,8,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.113097,0.113097,0.000104994,0,0
1,8,1,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.145538,0.145538,8.2007e-05,0,0
2,4,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.140674,0.140674,0.000117584,0,0
1,8,2,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.208589,0.208589,8.3102e-05,0,0
1,4,1,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.18761,0.18761,0.000116426,0,0
1,8,10,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.22656,0.22656,0.000136804,0,0
