KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.623369,0.623369,0.000104267,0,0
2,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.303162,0.303162,0.000103088,0,0
4,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.303162,0.303162,0.000116949,0,0
8,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.215664,0.215664,0.00012327,0,0
8,2,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.220723,0.220723,0.00010556,0,0
8,4,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.196633,0.196633,0.000114749,0,0
8,8,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.185437,0.185437,0.000110658,0,0
8,8,2,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.185257,0.185257,0.000123461,0,0
8,8,4,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.185292,0.185292,0.000114945,0,0
8,8,10,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.186482,0.186482,0.000109431,0,0
8,8,2,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.185586,0.185586,0.000129819,0,0
8,8,2,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.185143,0.185143,0.000108819,0,0
8,8,2,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.189355,0.189355,8.0648e-05,0,0
8,8,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.151912,0.151912,0.000102496,0,0
8,8,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.15432,0.15432,0.000106868,0,0
8,8,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.162035,0.162035,0.000109802,0,0
1,8,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.312055,0.312055,0.000112632,0,0
2,8,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.194307,0.194307,0.000111604,0,0
4,8,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.162059,0.162059,0.000143899,0,0
8,1,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.174709,0.174709,0.000105605,0,0
8,2,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.169938,0.169938,0.000104417,0,0
8,4,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.154243,0.154243,0.000112442,0,0
8,8,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.151789,0.151789,0.000109138,0,0
8,8,4,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.152521,0.152521,0.000104614,0,0
8,8,10,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.151414,0.151414,0.000120198,0,0
8,8,10,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.152636,0.152636,0.000108171,0,0
8,8,10,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.152358,0.152358,0.000133433,0,0
8,8,10,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.159213,0.159213,7.2901e-05,0,0
8,8,10,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.185007,0.185007,0.000108919,0,0
8,8,10,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.155007,0.155007,0.000125672,0,0
8,8,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.162768,0.162768,9.7102e-05,0,0
1,8,10,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.311831,0.311831,0.000106938,0,0
2,8,10,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.194403,0.194403,0.000107807,0,0
4,8,10,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.161775,0.161775,0.000112121,0,0
8,1,10,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.17626,0.17626,0.000100808,0,0
8,2,10,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.167439,0.167439,9.7561e-05,0,0
8,4,10,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.15416,0.15416,0.00010616,0,0
