KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
4,4,10,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.201398,0.201398,8.329e-05,0,0
8,1,1,128,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.308704,0.308704,9.8686e-05,0,0
8,1,10,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.25768,0.25768,7.4043e-05,0,0
2,8,4,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.471704,0.471704,7.5463e-05,0,0
4,2,2,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.321098,0.321098,7.7002e-05,0,0
2,1,4,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.251468,0.251468,0.000108262,0,0
2,8,1,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.556572,0.556572,7.3768e-05,0,0
1,4,4,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.640746,0.640746,7.643e-05,0,0
1,4,10,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.349808,0.349808,7.8328e-05,0,0
1,2,1,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.697477,0.697477,7.7303e-05,0,0
1,8,2,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.713527,0.713527,7.5615e-05,0,0
2,8,1,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.379781,0.379781,7.9702e-05,0,0
8,1,1,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.266565,0.266565,0.000117555,0,0
4,2,2,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.214921,0.214921,0.000116427,0,0
8,1,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.239744,0.239744,0.000120962,0,0
1,4,10,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.551416,0.551416,6.9604e-05,0,0
1,2,10,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.71986,0.71986,9.1852e-05,0,0
1,1,10,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.741377,0.741377,8.6075e-05,0,0
1,4,2,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.442564,0.442564,9.2434e-05,0,0
4,2,2,32,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.210126,0.210126,8.5073e-05,0,0
8,8,4,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.27695,0.27695,0.000103276,0,0
4,4,2,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.314571,0.314571,0.000113983,0,0
8,8,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.235091,0.235091,0.000104547,0,0
8,2,4,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.297333,0.297333,0.000129678,0,0
4,1,2,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.401393,0.401393,0.000106633,0,0
4,4,2,32,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.496843,0.496843,0.000112739,0,0
2,1,1,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.348698,0.348698,7.3473e-05,0,0
4,1,2,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.356483,0.356483,0.00010324,0,0
1,2,4,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.93034,0.93034,0.000105487,0,0
1,1,1,128,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.739955,0.739955,7.6671e-05,0,0
4,4,4,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.224826,0.224826,7.6341e-05,0,0
4,1,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.293264,0.293264,0.000108561,0,0
2,8,2,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.374847,0.374847,0.000106812,0,0
1,4,1,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.360077,0.360077,0.000107171,0,0
8,2,1,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.323238,0.323238,8.4051e-05,0,0
4,8,10,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.225353,0.225353,0.000105584,0,0
2,8,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.433728,0.433728,7.3875e-05,0,0
8,2,2,32,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.330251,0.330251,7.8463e-05,0,0
2,4,2,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.268792,0.268792,0.000113163,0,0
8,8,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.202597,0.202597,0.000105294,0,0
4,8,1,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.228896,0.228896,0.000104557,0,0
1,2,2,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.694751,0.694751,5.3337e-05,0,0
8,2,4,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.219067,0.219067,7.44e-05,0,0
8,2,10,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.320278,0.320278,0.00010644,0,0
1,1,2,32,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.580215,0.580215,0.000112499,0,0
4,8,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.210815,0.210815,0.000111263,0,0
4,4,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.234152,0.234152,0.000105766,0,0
4,4,1,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.336571,0.336571,0.000106401,0,0
8,4,10,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.21073,0.21073,0.000111482,0,0
8,1,4,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.304496,0.304496,0.000116236,0,0
4,2,1,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.216151,0.216151,0.000106385,0,0
8,1,4,32,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.288791,0.288791,0.000108032,0,0
1,8,10,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.679362,0.679362,0.000137984,0,0
2,2,4,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.450918,0.450918,8.2266e-05,0,0
4,4,1,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.326374,0.326374,8.689e-05,0,0
2,4,10,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.269802,0.269802,7.3055e-05,0,0
1,1,1,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.735404,0.735404,7.1692e-05,0,0
4,8,1,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.288501,0.288501,7.9715e-05,0,0
1,8,4,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.39537,0.39537,8.2001e-05,0,0
4,4,10,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.20397,0.20397,0.000108583,0,0
4,8,4,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.235477,0.235477,7.9948e-05,0,0
4,1,4,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.228309,0.228309,0.000238611,0,0
1,1,1,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.376765,0.376765,0.000108097,0,0
1,2,1,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.351761,0.351761,0.000107959,0,0
2,2,4,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.279145,0.279145,0.00010987,0,0
4,1,2,32,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.370161,0.370161,8.1786e-05,0,0
2,1,2,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.392907,0.392907,0.000153745,0,0
8,4,2,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.312919,0.312919,0.000109546,0,0
2,1,10,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.277792,0.277792,0.000111875,0,0
2,2,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.258013,0.258013,0.000103969,0,0
8,4,10,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.222094,0.222094,0.000110408,0,0
4,2,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.230368,0.230368,0.000100821,0,0
8,4,10,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.217672,0.217672,0.00011182,0,0
1,4,2,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.372134,0.372134,0.000112111,0,0
2,2,2,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.268371,0.268371,0.000119507,0,0
1,4,4,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.704161,0.704161,0.000111374,0,0
2,8,2,32,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.404267,0.404267,8.1627e-05,0,0
4,2,1,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.327921,0.327921,9.2256e-05,0,0
4,8,4,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.216524,0.216524,0.000121015,0,0
4,1,2,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.378539,0.378539,0.000112123,0,0
2,8,4,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.257511,0.257511,0.000126837,0,0
1,4,10,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.393699,0.393699,0.000114303,0,0
1,8,2,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.909183,0.909183,8.4868e-05,0,0
8,2,10,32,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.219077,0.219077,8.2605e-05,0,0
8,2,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.2189,0.2189,0.0001161,0,0
1,1,10,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.927102,0.927102,0.000117652,0,0
2,2,2,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.470073,0.470073,8.1747e-05,0,0
8,1,10,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.328797,0.328797,7.4473e-05,0,0
4,4,2,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.22338,0.22338,0.000106987,0,0
